identity_id,display_name,image_id,title,source_url,download_url,description_url,mime,width,height,license_short_name,license_url,artist,credit,attribution_required,usage_terms,image_description,processed_image_path
barack_obama,Barack Obama,barack_obama_01,File:President Barack Obama.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8d/President_Barack_Obama.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/President_Barack_Obama.jpg/1280px-President_Barack_Obama.jpg,https://commons.wikimedia.org/wiki/File:President_Barack_Obama.jpg,image/jpeg,2687,3356,Public domain,,Official White House Photo by Pete Souza,P120612PS-0463 (direct link)Official White House page direct link),false,Public domain,"U.S. President Barack Obama's official photograph in the Oval Office on December 6, 2012.",identity_layers/datasets/wikimedia_identity_probe/images/barack_obama/barack_obama_01.jpg
barack_obama,Barack Obama,barack_obama_02,File:Official portrait of Barack Obama.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e9/Official_portrait_of_Barack_Obama.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Official_portrait_of_Barack_Obama.jpg/1280px-Official_portrait_of_Barack_Obama.jpg,https://commons.wikimedia.org/wiki/File:Official_portrait_of_Barack_Obama.jpg,image/jpeg,1916,2608,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Pete Souza,http://change.gov/newsroom/entry/new_official_portrait_released/ (direct download),true,Creative Commons Attribution 3.0,Official photographic portrait of US President Barack Obama (born 4 August 1961; assumed office 20 January 2009),identity_layers/datasets/wikimedia_identity_probe/images/barack_obama/barack_obama_02.jpg
barack_obama,Barack Obama,barack_obama_03,File:Barack H. Obama (4x5).png,https://upload.wikimedia.org/wikipedia/commons/e/ec/Barack_H._Obama_%284x5%29.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Barack_H._Obama_%284x5%29.png/1280px-Barack_H._Obama_%284x5%29.png,https://commons.wikimedia.org/wiki/File:Barack_H._Obama_(4x5).png,image/png,2400,3000,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Pete Souza,http://change.gov/newsroom/entry/new_official_portrait_released/ (direct download),true,Creative Commons Attribution 3.0,Official photographic portrait of US President Barack Obama (born 4 August 1961; assumed office 20 January 2009),identity_layers/datasets/wikimedia_identity_probe/images/barack_obama/barack_obama_03.jpg
michelle_obama,Michelle Obama,michelle_obama_01,File:Michelle Obama 2013 official portrait.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4b/Michelle_Obama_2013_official_portrait.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Michelle_Obama_2013_official_portrait.jpg/1280px-Michelle_Obama_2013_official_portrait.jpg,https://commons.wikimedia.org/wiki/File:Michelle_Obama_2013_official_portrait.jpg,image/jpeg,2722,4096,Public domain,,Official White House Photo by Chuck Kennedy,P021213CK-0027 (direct link),false,Public domain,Official portrait of First Lady Michelle Obama in the Green Room of the White House,identity_layers/datasets/wikimedia_identity_probe/images/michelle_obama/michelle_obama_01.jpg
michelle_obama,Michelle Obama,michelle_obama_02,File:Michelle Obama 2013 official portrait (cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/3/38/Michelle_Obama_2013_official_portrait_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Michelle_Obama_2013_official_portrait_%28cropped%29.jpg/1280px-Michelle_Obama_2013_official_portrait_%28cropped%29.jpg,https://commons.wikimedia.org/wiki/File:Michelle_Obama_2013_official_portrait_(cropped).jpg,image/jpeg,1748,2325,Public domain,,Official White House Photo by Chuck Kennedy,P021213CK-0027 (direct link),false,Public domain,Official portrait of First Lady Michelle Obama in the Green Room of the White House,identity_layers/datasets/wikimedia_identity_probe/images/michelle_obama/michelle_obama_02.jpg
michelle_obama,Michelle Obama,michelle_obama_03,File:Michelle Obama official portrait (cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Michelle_Obama_official_portrait_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Michelle_Obama_official_portrait_%28cropped%29.jpg/1280px-Michelle_Obama_official_portrait_%28cropped%29.jpg,https://commons.wikimedia.org/wiki/File:Michelle_Obama_official_portrait_(cropped).jpg,image/jpeg,2004,2748,Public domain,,Joyce Boghosian,http://www.whitehouse.gov/assets/hi_res/P021809JB-0046_MrsObamaPortrait.jpg,false,Public domain,"Michelle Obama, official White House portrait.",identity_layers/datasets/wikimedia_identity_probe/images/michelle_obama/michelle_obama_03.jpg
joe_biden,Joe Biden,joe_biden_01,File:Joe Biden portrait 2021.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7f/Joe_Biden_portrait_2021.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Joe_Biden_portrait_2021.jpg/1280px-Joe_Biden_portrait_2021.jpg,https://commons.wikimedia.org/wiki/File:Joe_Biden_portrait_2021.jpg,image/jpeg,2048,1536,Public domain,,The White House,https://www.whitehouse.gov/wp-content/uploads/2021/01/eo_1-1-600x400.jpg,false,Public domain,The first portrait of Joe Biden as president of the United States.,identity_layers/datasets/wikimedia_identity_probe/images/joe_biden/joe_biden_01.jpg
joe_biden,Joe Biden,joe_biden_02,File:Joe Biden Senate Portrait from 1973.jpg,https://upload.wikimedia.org/wikipedia/commons/6/66/Joe_Biden_Senate_Portrait_from_1973.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Joe_Biden_Senate_Portrait_from_1973.jpg/1280px-Joe_Biden_Senate_Portrait_from_1973.jpg,https://commons.wikimedia.org/wiki/File:Joe_Biden_Senate_Portrait_from_1973.jpg,image/jpeg,2302,2302,Public domain,,Joe Biden,https://www.instagram.com/p/qSvfbBFwcd/,false,Public domain,Joe Biden Senate Portrait from 1973,identity_layers/datasets/wikimedia_identity_probe/images/joe_biden/joe_biden_02.jpg
joe_biden,Joe Biden,joe_biden_03,File:Joe Biden official portrait 2013 (cropped) 2.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9a/Joe_Biden_official_portrait_2013_%28cropped%29_2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Joe_Biden_official_portrait_2013_%28cropped%29_2.jpg/1280px-Joe_Biden_official_portrait_2013_%28cropped%29_2.jpg,https://commons.wikimedia.org/wiki/File:Joe_Biden_official_portrait_2013_(cropped)_2.jpg,image/jpeg,2182,2733,Public domain,,"The White House from Washington, DC",V011013DL-0556,false,Public domain,"Cropped official portrait of Vice President Joe Biden in his West Wing Office at the White House, Jan. 10, 2013. (Official White House Photo by David Lienemann)",identity_layers/datasets/wikimedia_identity_probe/images/joe_biden/joe_biden_03.jpg
kamala_harris,Kamala Harris,kamala_harris_01,File:Kamala Harris Vice Presidential Portrait (cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Kamala_Harris_Vice_Presidential_Portrait_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Kamala_Harris_Vice_Presidential_Portrait_%28cropped%29.jpg/1280px-Kamala_Harris_Vice_Presidential_Portrait_%28cropped%29.jpg,https://commons.wikimedia.org/wiki/File:Kamala_Harris_Vice_Presidential_Portrait_(cropped).jpg,image/jpeg,1537,2051,Public domain,,Lawrence Jackson,https://www.whitehouse.gov/administration/vice-president-harris/ (archive),false,Public domain,Kamala Harris,identity_layers/datasets/wikimedia_identity_probe/images/kamala_harris/kamala_harris_01.jpg
