layer_name,prompt,timestep_index,num_same_pairs,num_different_pairs,mean_same_identity_cosine_distance,mean_different_identity_cosine_distance,mean_same_identity_euclidean_distance,mean_different_identity_euclidean_distance,identity_separation,identity_auc,best_verification_threshold,best_verification_accuracy,equal_error_rate
vae_image_latent,add black sunglasses,3,45,945,0.20073669155438742,0.21701203555400883,0.43923453527192274,0.4806361022449675,0.01627534399962141,0.5623280423280423,0.0002983941307067871,0.9545454545454546,0.4666666666666667
vae_image_latent,add black sunglasses,6,45,945,0.20073669155438742,0.21701203555400883,0.43923453527192274,0.4806361022449675,0.01627534399962141,0.5623280423280423,0.0002983941307067871,0.9545454545454546,0.4666666666666667
vae_image_latent,add black sunglasses,10,45,945,0.20073669155438742,0.21701203555400883,0.43923453527192274,0.4806361022449675,0.01627534399962141,0.5623280423280423,0.0002983941307067871,0.9545454545454546,0.4666666666666667
vae_image_latent,add black sunglasses,14,45,945,0.20073669155438742,0.21701203555400883,0.43923453527192274,0.4806361022449675,0.01627534399962141,0.5623280423280423,0.0002983941307067871,0.9545454545454546,0.4666666666666667
vae_image_latent,add headphones,3,45,945,0.20073669155438742,0.21701203555400883,0.43923453527192274,0.4806361022449675,0.01627534399962141,0.5623280423280423,0.0002983941307067871,0.9545454545454546,0.4666666666666667
vae_image_latent,add headphones,6,45,945,0.20073669155438742,0.21701203555400883,0.43923453527192274,0.4806361022449675,0.01627534399962141,0.5623280423280423,0.0002983941307067871,0.9545454545454546,0.4666666666666667
vae_image_latent,add headphones,10,45,945,0.20073669155438742,0.21701203555400883,0.43923453527192274,0.4806361022449675,0.01627534399962141,0.5623280423280423,0.0002983941307067871,0.9545454545454546,0.4666666666666667
vae_image_latent,add headphones,14,45,945,0.20073669155438742,0.21701203555400883,0.43923453527192274,0.4806361022449675,0.01627534399962141,0.5623280423280423,0.0002983941307067871,0.9545454545454546,0.4666666666666667
unet.conv_in,add black sunglasses,6,45,945,0.11839305477009879,0.13100243588939073,0.37882129963901306,0.4121389041028956,0.01260938111929194,0.5478894767783656,0.0007000698318481445,0.9545454545454546,0.44814814814814813
unet.conv_in,add headphones,6,45,945,0.11839305477009879,0.13100243588939073,0.37882129963901306,0.4121389041028956,0.01260938111929194,0.5478894767783656,0.0007000698318481445,0.9545454545454546,0.44814814814814813
unet.conv_in,add black sunglasses,3,45,945,0.11851787583695518,0.13105764170842513,0.3784835263258881,0.4117659972300605,0.012539765871469946,0.5478189300411522,0.0006980432739257812,0.9545454545454546,0.4486772486772487
unet.conv_in,add headphones,3,45,945,0.11851787583695518,0.13105764170842513,0.3784835263258881,0.4117659972300605,0.012539765871469946,0.5478189300411522,0.0006980432739257812,0.9545454545454546,0.4486772486772487
unet.conv_in,add black sunglasses,10,45,945,0.11632009694973627,0.12880050602748438,0.3766127847135067,0.40965121333640087,0.012480409077748111,0.5473251028806584,0.0006956590881347656,0.9545454545454546,0.4476190476190476
unet.conv_in,add headphones,10,45,945,0.11632009694973627,0.12880050602748438,0.3766127847135067,0.40965121333640087,0.012480409077748111,0.5473251028806584,0.0006956590881347656,0.9545454545454546,0.4476190476190476
unet.conv_in,add black sunglasses,14,45,945,0.11228549364540312,0.12435441500551644,0.37122362421618565,0.4036091124333402,0.012068921360113324,0.5473956496178718,0.0006661547889709472,0.9545454545454546,0.4486772486772487
unet.conv_in,add headphones,14,45,945,0.11228549364540312,0.12435441500551644,0.37122362421618565,0.4036091124333402,0.012068921360113324,0.5473956496178718,0.0006661547889709472,0.9545454545454546,0.4486772486772487
unet.up_blocks.0,add black sunglasses,3,45,945,0.005886655383639866,0.006518256475055028,0.09337323390775257,0.09982448925298673,0.0006316010914151626,0.5389417989417989,0.0002662539482116699,0.9565656565656566,0.5111111111111111
unet.up_blocks.3.attentions.2.transformer_blocks.0.norm1,add black sunglasses,3,45,945,0.007737890879313151,0.008234553929989931,0.09944480363693502,0.10655796366039091,0.0004966630506767801,0.5459611992945326,5.7293342590332034e-05,0.9545454545454546,0.4624338624338624
unet.mid_block,add black sunglasses,3,45,945,0.0041732536421881785,0.0046666446816984305,0.07812845504118336,0.08488965604907621,0.000493391039510252,0.5601881246325691,0.0003237128257751465,0.9575757575757575,0.4888888888888889
unet.up_blocks.3.attentions.2.transformer_blocks.0.norm1,add headphones,3,45,945,0.007532395256890191,0.008010116960636523,0.09804399833083152,0.1050597146005621,0.00047772170374633157,0.5461258083480306,5.121366882324219e-05,0.9545454545454546,0.464021164021164
