layer_name,module_path,module_type,candidate_group,output_type,output_shape,dtype,device,number_of_elements,estimated_memory,hook_error
vae_image_latent,vae_image_latent,VAEImageLatentPseudoLayer,vae_conditioning,torch.Tensor,"[1, 4, 64, 64]",torch.float16,cuda:0,16384,0.03125,
unet.conv_in,unet.conv_in,Conv2d,unet_input,torch.Tensor,"[1, 320, 64, 64]",torch.float16,cuda:0,1310720,2.5,
unet.down_blocks,unet.down_blocks,ModuleList,down_block,,None,,,,,
unet.down_blocks.0,unet.down_blocks.0,CrossAttnDownBlock2D,down_block,torch.Tensor,"[1, 320, 32, 32]",torch.float16,cuda:0,327680,0.625,
unet.down_blocks.0.attentions.0.transformer_blocks,unet.down_blocks.0.attentions.0.transformer_blocks,ModuleList,transformer_block,,None,,,,,
unet.down_blocks.0.attentions.0.transformer_blocks.0,unet.down_blocks.0.attentions.0.transformer_blocks.0,BasicTransformerBlock,transformer_block,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,1310720,2.5,
unet.down_blocks.0.attentions.0.transformer_blocks.0.norm1,unet.down_blocks.0.attentions.0.transformer_blocks.0.norm1,LayerNorm,transformer_block,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,1310720,2.5,
unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1,Attention,self_attention,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,1310720,2.5,
unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,Linear,self_attention,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,1310720,2.5,
unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k,Linear,self_attention,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,1310720,2.5,
unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v,Linear,self_attention,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,1310720,2.5,
unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out,ModuleList,self_attention,,None,,,,,
