layer_name,module_path,module_type,parent_block,candidate_group,supports_forward_hook,output_type,output_shape,dtype,device,output_dtype,output_device,number_of_elements,estimated_memory,estimated_memory_mb,hook_error,num_parameters
vae_image_latent,vae_image_latent,VAEImageLatentPseudoLayer,vae,vae_conditioning,False,torch.Tensor,"[1, 4, 64, 64]",torch.float16,cuda:0,torch.float16,cuda:0,16384,0.03125,0.03125,,
unet.conv_in,unet.conv_in,Conv2d,unet.conv_in,unet_input,True,torch.Tensor,"[1, 320, 64, 64]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,23360
unet.down_blocks,unet.down_blocks,ModuleList,unet.down_blocks,down_block,True,,,,,,,,,,,0
unet.down_blocks.0,unet.down_blocks.0,CrossAttnDownBlock2D,unet.down_blocks.0,down_block,True,torch.Tensor,"[1, 320, 32, 32]",torch.float16,cuda:0,torch.float16,cuda:0,327680,0.625,0.625,,0
unet.down_blocks.0.attentions.0.transformer_blocks,unet.down_blocks.0.attentions.0.transformer_blocks,ModuleList,unet.down_blocks.0,transformer_block,True,,,,,,,,,,,0
unet.down_blocks.0.attentions.0.transformer_blocks.0,unet.down_blocks.0.attentions.0.transformer_blocks.0,BasicTransformerBlock,unet.down_blocks.0,transformer_block,True,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,0
unet.down_blocks.0.attentions.0.transformer_blocks.0.norm1,unet.down_blocks.0.attentions.0.transformer_blocks.0.norm1,LayerNorm,unet.down_blocks.0,transformer_block,True,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,640
unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1,Attention,unet.down_blocks.0,self_attention,True,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,0
unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,Linear,unet.down_blocks.0,self_attention,True,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,102400
unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k,Linear,unet.down_blocks.0,self_attention,True,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,102400
unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v,Linear,unet.down_blocks.0,self_attention,True,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,102400
unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out,ModuleList,unet.down_blocks.0,self_attention,True,,,,,,,,,,,0
unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,unet.down_blocks.0,self_attention,True,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,102720
unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.1,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.1,Dropout,unet.down_blocks.0,self_attention,True,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,0
unet.down_blocks.0.attentions.0.transformer_blocks.0.norm2,unet.down_blocks.0.attentions.0.transformer_blocks.0.norm2,LayerNorm,unet.down_blocks.0,transformer_block,True,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,640
unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2,Attention,unet.down_blocks.0,cross_attention,True,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,0
unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_q,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_q,Linear,unet.down_blocks.0,cross_attention,True,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,102400
unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k,Linear,unet.down_blocks.0,cross_attention,True,torch.Tensor,"[1, 77, 320]",torch.float16,cuda:0,torch.float16,cuda:0,24640,0.0469970703125,0.0469970703125,,245760
unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,Linear,unet.down_blocks.0,cross_attention,True,torch.Tensor,"[1, 77, 320]",torch.float16,cuda:0,torch.float16,cuda:0,24640,0.0469970703125,0.0469970703125,,245760
unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out,ModuleList,unet.down_blocks.0,cross_attention,True,,,,,,,,,,,0
unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,unet.down_blocks.0,cross_attention,True,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,102720
unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.1,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.1,Dropout,unet.down_blocks.0,cross_attention,True,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,0
unet.down_blocks.0.attentions.0.transformer_blocks.0.norm3,unet.down_blocks.0.attentions.0.transformer_blocks.0.norm3,LayerNorm,unet.down_blocks.0,transformer_block,True,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,640
unet.down_blocks.0.attentions.0.transformer_blocks.0.ff,unet.down_blocks.0.attentions.0.transformer_blocks.0.ff,FeedForward,unet.down_blocks.0,feed_forward,True,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,0
unet.down_blocks.0.attentions.0.transformer_blocks.0.ff.net,unet.down_blocks.0.attentions.0.transformer_blocks.0.ff.net,ModuleList,unet.down_blocks.0,feed_forward,True,,,,,,,,,,,0
unet.down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0,unet.down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0,GEGLU,unet.down_blocks.0,feed_forward,True,torch.Tensor,"[1, 4096, 1280]",torch.float16,cuda:0,torch.float16,cuda:0,5242880,10.0,10.0,,0
unet.down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj,unet.down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,unet.down_blocks.0,feed_forward,True,torch.Tensor,"[1, 4096, 2560]",torch.float16,cuda:0,torch.float16,cuda:0,10485760,20.0,20.0,,821760
unet.down_blocks.0.attentions.0.transformer_blocks.0.ff.net.1,unet.down_blocks.0.attentions.0.transformer_blocks.0.ff.net.1,Dropout,unet.down_blocks.0,feed_forward,True,torch.Tensor,"[1, 4096, 1280]",torch.float16,cuda:0,torch.float16,cuda:0,5242880,10.0,10.0,,0
unet.down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2,unet.down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2,Linear,unet.down_blocks.0,feed_forward,True,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,409920
unet.down_blocks.0.attentions.1.transformer_blocks,unet.down_blocks.0.attentions.1.transformer_blocks,ModuleList,unet.down_blocks.0,transformer_block,True,,,,,,,,,,,0
unet.down_blocks.0.attentions.1.transformer_blocks.0,unet.down_blocks.0.attentions.1.transformer_blocks.0,BasicTransformerBlock,unet.down_blocks.0,transformer_block,True,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,0
unet.down_blocks.0.attentions.1.transformer_blocks.0.norm1,unet.down_blocks.0.attentions.1.transformer_blocks.0.norm1,LayerNorm,unet.down_blocks.0,transformer_block,True,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,640
unet.down_blocks.0.attentions.1.transformer_blocks.0.attn1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn1,Attention,unet.down_blocks.0,self_attention,True,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,0
unet.down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_q,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_q,Linear,unet.down_blocks.0,self_attention,True,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,102400
unet.down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_k,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_k,Linear,unet.down_blocks.0,self_attention,True,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,102400
unet.down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_v,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_v,Linear,unet.down_blocks.0,self_attention,True,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,102400
unet.down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out,ModuleList,unet.down_blocks.0,self_attention,True,,,,,,,,,,,0
unet.down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.0,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,unet.down_blocks.0,self_attention,True,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,102720
unet.down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.1,Dropout,unet.down_blocks.0,self_attention,True,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,0
unet.down_blocks.0.attentions.1.transformer_blocks.0.norm2,unet.down_blocks.0.attentions.1.transformer_blocks.0.norm2,LayerNorm,unet.down_blocks.0,transformer_block,True,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,640
unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2,Attention,unet.down_blocks.0,cross_attention,True,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,0
unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_q,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_q,Linear,unet.down_blocks.0,cross_attention,True,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,102400
unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_k,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_k,Linear,unet.down_blocks.0,cross_attention,True,torch.Tensor,"[1, 77, 320]",torch.float16,cuda:0,torch.float16,cuda:0,24640,0.0469970703125,0.0469970703125,,245760
unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,Linear,unet.down_blocks.0,cross_attention,True,torch.Tensor,"[1, 77, 320]",torch.float16,cuda:0,torch.float16,cuda:0,24640,0.0469970703125,0.0469970703125,,245760
unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_out,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_out,ModuleList,unet.down_blocks.0,cross_attention,True,,,,,,,,,,,0
unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_out.0,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_out.0,Linear,unet.down_blocks.0,cross_attention,True,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,102720
unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_out.1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_out.1,Dropout,unet.down_blocks.0,cross_attention,True,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,0
unet.down_blocks.0.attentions.1.transformer_blocks.0.norm3,unet.down_blocks.0.attentions.1.transformer_blocks.0.norm3,LayerNorm,unet.down_blocks.0,transformer_block,True,torch.Tensor,"[1, 4096, 320]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,640
