iteration,Z,Z_total,loss,layer_name,prompt,timestep_index,image_id,identity_id,seed,learning_rate,finite_gradient_flag,nan_or_inf_flag,input_psnr,input_ssim,input_mse,input_l2,combined_mean_disp_px,combined_max_disp_px,combined_p95_disp_px,jacobian_det_min,foldover_fraction,smoothness_tv,tps_mean_disp,tps_max_disp,tps_p95_disp,delaunay_mean_disp,delaunay_max_disp,delaunay_p95_disp,rolling_mean_disp,rolling_max_disp,rolling_p95_disp,dct_mean_disp,dct_max_disp,dct_p95_disp,fft_phase_norm,fft_phase_max,fft_phase_mean_abs,legacy_fft_strength_equivalent,fft_spatial_delta_mse,tps_grad_norm,delaunay_grad_norm,rolling_grad_norm,dct_grad_norm,fft_grad_norm,total_grad_norm,num_total_params,num_clamped_total,fraction_clamped_total,num_at_min_total,num_at_max_total,components_at_boundary,seconds_iter,seconds_elapsed,peak_vram_gb
0,0.0010647773742675781,0.0010647773742675781,-0.0010647773742675781,unet.conv_in,add black sunglasses,6,joe_biden_01,joe_biden,1234,0.03,True,False,27.17242916892583,0.9819402098655701,0.0019175958586856723,0.043790362775325775,0.7494277954101562,1.9212477207183838,1.674102783203125,0.8746515512466431,0.0,0.01400594599545002,0.17096424102783203,0.4778667986392975,0.34311479330062866,0.20652326941490173,0.5307715535163879,0.3686310350894928,0.237868070602417,0.3973205089569092,0.39581573009490967,0.5555921196937561,1.4427913427352905,1.0737801790237427,101.47411346435547,0.5332565903663635,0.09171640872955322,29194.240234375,0.0006253696046769619,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.09449874982237816,0.18843276426196098,5.859372615814209
1,0.0010647773742675781,0.0010647773742675781,-0.0010647773742675781,unet.conv_in,add black sunglasses,6,joe_biden_01,joe_biden,1234,0.03,True,False,27.17242916892583,0.9819402098655701,0.0019175958586856723,0.043790362775325775,0.7494277954101562,1.9212477207183838,1.674102783203125,0.8746515512466431,0.0,0.01400594599545002,0.17096424102783203,0.4778667986392975,0.34311479330062866,0.20652326941490173,0.5307715535163879,0.3686310350894928,0.237868070602417,0.3973205089569092,0.39581573009490967,0.5555921196937561,1.4427913427352905,1.0737801790237427,101.47411346435547,0.5332565903663635,0.09171640872955322,29194.240234375,0.0006253696046769619,5.656523717334494e-05,4.202517447993159e-05,6.33735689916648e-05,0.00015720193914603442,2.704743565118406e-05,0.00018554235106806532,326,0,0.0,0,0,,0.15705221705138683,0.3463341724127531,5.859372615814209
2,0.0011199712753295898,0.0011199712753295898,-0.0011199712753295898,unet.conv_in,add black sunglasses,6,joe_biden_01,joe_biden,1234,0.03,True,False,26.87192050858803,0.9804409742355347,0.002054981654509902,0.04533190652728081,0.8077715635299683,1.9059715270996094,1.7405338287353516,0.8681485056877136,0.0,0.014461138285696507,0.1751703917980194,0.4585774838924408,0.33375284075737,0.2035725712776184,0.5555371642112732,0.37365657091140747,0.26974308490753174,0.44214504957199097,0.44057798385620117,0.581028938293457,1.5591282844543457,1.12734854221344,101.69454956054688,0.5621733069419861,0.091435007750988,29104.666015625,0.0005920313997194171,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.18616878241300583,0.533074676990509,5.859372615814209
3,0.0011746883392333984,0.0011746883392333984,-0.0011746883392333984,unet.conv_in,add black sunglasses,6,joe_biden_01,joe_biden,1234,0.03,True,False,26.592427373397797,0.9790319204330444,0.002191579667851329,0.04681431129574776,0.8572965860366821,1.963818907737732,1.7984849214553833,0.8635210990905762,0.0,0.014973612502217293,0.18006153404712677,0.44673264026641846,0.34264063835144043,0.20293398201465607,0.5710952281951904,0.3804754912853241,0.29115378856658936,0.47229981422424316,0.4705951511859894,0.6048969626426697,1.6651933193206787,1.1936124563217163,103.05680084228516,0.5812634229660034,0.09242531657218933,29419.890625,0.00059847830561921,2.797993374770158e-07,2.510811896172527e-07,1.8355650865942152e-07,9.403041190125805e-07,2.786880941130221e-06,2.9708415712000392e-06,326,0,0.0,0,0,,0.1467234306037426,0.6804244089871645,5.859372615814209
4,0.0012261271476745605,0.0012261271476745605,-0.0012261271476745605,unet.conv_in,add black sunglasses,6,joe_biden_01,joe_biden,1234,0.03,True,False,26.33035261314372,0.9776918888092041,0.002327902242541313,0.04824833944439888,0.8996400833129883,2.102524757385254,1.8405996561050415,0.8485035300254822,0.0,0.015454563312232494,0.18485283851623535,0.43819037079811096,0.348512202501297,0.2032526731491089,0.5827231407165527,0.3873448371887207,0.30764317512512207,0.4955782890319824,0.493913859128952,0.6259655952453613,1.7564328908920288,1.257596731185913,104.56491088867188,0.5958814024925232,0.09373490512371063,29836.74609375,0.0006183843361213803,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.17476149834692478,0.855769032612443,5.859372615814209
5,0.0012725591659545898,0.0012725591659545898,-0.0012725591659545898,unet.conv_in,add black sunglasses,6,joe_biden_01,joe_biden,1234,0.03,True,False,26.104452996154595,0.9764783382415771,0.0024521932937204838,0.049519624561071396,0.9363685846328735,2.233846426010132,1.8726781606674194,0.8342514634132385,0.0,0.01590248942375183,0.1894349902868271,0.43161094188690186,0.3550669848918915,0.20395880937576294,0.5919954776763916,0.3941083550453186,0.3211493492126465,0.514676570892334,0.5130546689033508,0.6448202133178711,1.83893620967865,1.3158679008483887,106.15169525146484,0.607743501663208,0.09512107074260712,30277.9765625,0.0006440626457333565,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.15305490233004093,1.0095933768898249,5.859372615814209
6,0.0013017058372497559,0.0013017058372497559,-0.0013017058372497559,unet.conv_in,add black sunglasses,6,joe_biden_01,joe_biden,1234,0.03,True,False,25.926586255816034,0.975475549697876,0.0025547086261212826,0.050544124096632004,0.9685806035995483,2.3457086086273193,1.9086546897888184,0.8222088813781738,0.0,0.016317037865519524,0.1937565803527832,0.4308931231498718,0.3641120493412018,0.20485347509384155,0.5996918082237244,0.40056511759757996,0.33256441354751587,0.5308483839035034,0.5290340185165405,0.6617230176925659,1.9133589267730713,1.3681143522262573,107.71662902832031,0.6176875829696655,0.09648426622152328,30711.89453125,0.0006722920807078481,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.1459697037935257,1.156242897734046,5.859372615814209
7,0.0013616085052490234,0.0013616085052490234,-0.0013616085052490234,unet.conv_in,add black sunglasses,6,joe_biden_01,joe_biden,1234,0.03,True,False,25.77795900981307,0.9746041297912598,0.0026436508633196354,0.05141644552350044,0.9970585107803345,2.4427571296691895,1.969497561454773,0.81183260679245,0.0,0.01669948920607567,0.1978033185005188,0.44649171829223633,0.37265443801879883,0.2058345228433609,0.6062078475952148,0.406656950712204,0.3424021601676941,0.5447925329208374,0.5430635213851929,0.6769156455993652,1.9805281162261963,1.4161325693130493,109.21546936035156,0.6261951327323914,0.09778424352407455,31125.69140625,0.0007014040602371097,0.00013951466826256365,0.00011535294470377266,1.7040514649124816e-05,0.00030978291761130095,8.541357237845659e-05,0.00036921803591099357,326,0,0.0,0,0,,0.14584680274128914,1.3026967570185661,5.859372615814209
8,0.0013186931610107422,0.0013186931610107422,-0.0013186931610107422,unet.conv_in,add black sunglasses,6,joe_biden_01,joe_biden,1234,0.03,True,False,25.58933326166248,0.9735363721847534,0.0027610016986727715,0.05254523456096649,1.029969573020935,2.515805244445801,2.0426952838897705,0.8055598139762878,0.0,0.0169722568243742,0.1995382308959961,0.4505784809589386,0.369392454624176,0.2071366310119629,0.6081949472427368,0.40509796142578125,0.35474807024002075,0.5623879432678223,0.5605518221855164,0.6950386166572571,2.00698184967041,1.4666749238967896,111.3873291015625,0.6297503709793091,0.09971736371517181,31741.0234375,0.0007190145552158356,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.14545132033526897,1.4487762488424778,5.859372615814209
9,0.0012906193733215332,0.0012906193733215332,-0.0012906193733215332,unet.conv_in,add black sunglasses,6,joe_biden_01,joe_biden,1234,0.03,True,False,25.4140481483388,0.9724971652030945,0.0028747175820171833,0.053616393357515335,1.0606036186218262,2.5877022743225098,2.111851692199707,0.8000281453132629,0.0,0.017236607149243355,0.20146866142749786,0.45473170280456543,0.37012979388237,0.20860570669174194,0.609868049621582,0.40514397621154785,0.3656312823295593,0.5779114365577698,0.576050877571106,0.7119568586349487,2.0314605236053467,1.5143184661865234,113.69214630126953,0.6328656673431396,0.10177935659885406,32397.375,0.0007397158769890666,9.60190646992487e-08,7.307084359808869e-08,1.0172196596158756e-07,2.5373159928676614e-07,5.614988367597107e-07,6.360558430578824e-07,326,0,0.0,0,0,,0.14733163826167583,1.5966115649789572,5.859372615814209
