iteration,Z,Z_total,loss,layer_name,prompt,timestep_index,image_id,identity_id,seed,learning_rate,finite_gradient_flag,nan_or_inf_flag,input_psnr,input_ssim,input_mse,input_l2,combined_mean_disp_px,combined_max_disp_px,combined_p95_disp_px,jacobian_det_min,foldover_fraction,smoothness_tv,tps_mean_disp,tps_max_disp,tps_p95_disp,delaunay_mean_disp,delaunay_max_disp,delaunay_p95_disp,rolling_mean_disp,rolling_max_disp,rolling_p95_disp,dct_mean_disp,dct_max_disp,dct_p95_disp,fft_phase_norm,fft_phase_max,fft_phase_mean_abs,legacy_fft_strength_equivalent,fft_spatial_delta_mse,tps_grad_norm,delaunay_grad_norm,rolling_grad_norm,dct_grad_norm,fft_grad_norm,total_grad_norm,num_total_params,num_clamped_total,fraction_clamped_total,num_at_min_total,num_at_max_total,components_at_boundary,seconds_iter,seconds_elapsed,peak_vram_gb
0,0.002081632614135742,0.002081632614135742,-0.002081632614135742,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.03,True,False,26.71704827569565,0.984429121017456,0.002129585947841406,0.046147435903549194,0.7494277954101562,1.9212477207183838,1.674102783203125,0.8746515512466431,0.0,0.01400594599545002,0.17096424102783203,0.4778667986392975,0.34311479330062866,0.20652326941490173,0.5307715535163879,0.3686310350894928,0.237868070602417,0.3973205089569092,0.39581573009490967,0.5555921196937561,1.4427913427352905,1.0737801790237427,101.47411346435547,0.5332565903663635,0.09171640872955322,29194.240234375,0.001204964006319642,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.0934765599668026,0.2030215784907341,5.859372615814209
1,0.002081632614135742,0.002081632614135742,-0.002081632614135742,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.03,True,False,26.71704827569565,0.984429121017456,0.002129585947841406,0.046147435903549194,0.7494277954101562,1.9212477207183838,1.674102783203125,0.8746515512466431,0.0,0.01400594599545002,0.17096424102783203,0.4778667986392975,0.34311479330062866,0.20652326941490173,0.5307715535163879,0.3686310350894928,0.237868070602417,0.3973205089569092,0.39581573009490967,0.5555921196937561,1.4427913427352905,1.0737801790237427,101.47411346435547,0.5332565903663635,0.09171640872955322,29194.240234375,0.001204964006319642,0.00010595849744277075,7.950692815938964e-05,4.357827128842473e-05,0.00026254908880218863,8.434917981503531e-05,0.0003090217285248535,326,0,0.0,0,0,,0.14791363291442394,0.351587513461709,5.859372615814209
2,0.0016704201698303223,0.0016704201698303223,-0.0016704201698303223,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.03,True,False,26.24103658958765,0.982803225517273,0.0023762730415910482,0.04874703288078308,0.8055990934371948,2.289379596710205,1.9003970623016357,0.8728436231613159,0.0,0.014602739363908768,0.17548860609531403,0.4999989867210388,0.3412559926509857,0.2117116004228592,0.5672184228897095,0.3749542534351349,0.26973867416381836,0.44213947653770447,0.4405726194381714,0.5889332294464111,1.5303313732147217,1.2317147254943848,103.7522201538086,0.5610913634300232,0.09378007054328918,29851.12109375,0.0013508403208106756,4.385224019642919e-05,3.308946543256752e-05,3.162457142025232e-05,0.00012188728578621522,0.00011927255400223657,0.00018193542201814353,326,0,0.0,0,0,,0.14632035419344902,0.4983509536832571,5.859372615814209
3,0.002192258834838867,0.002192258834838867,-0.002192258834838867,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.03,True,False,25.911566066033753,0.9814524054527283,0.0025635594502091408,0.050631605088710785,0.8709599375724792,2.5876951217651367,2.1292295455932617,0.8720073699951172,0.0,0.015353076159954071,0.17969867587089539,0.5057174563407898,0.35122740268707275,0.21518179774284363,0.5851138234138489,0.3805636465549469,0.30111080408096313,0.4863056242465973,0.4847800135612488,0.6199668049812317,1.7524960041046143,1.3883596658706665,106.37984466552734,0.5858308672904968,0.09642019122838974,30691.498046875,0.0014319939073175192,6.925682828295976e-05,5.360008799470961e-05,3.915774141205475e-05,0.0001876143942354247,5.211247116676532e-05,0.00021706606594486767,326,0,0.0,0,0,,0.14678077213466167,0.6457009073346853,5.859372615814209
4,0.002873361110687256,0.002873361110687256,-0.002873361110687256,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.03,True,False,25.65369948429726,0.9803630709648132,0.002720382995903492,0.052157290279865265,0.8953766822814941,2.7171154022216797,2.240370273590088,0.8722788691520691,0.0,0.015829946845769882,0.1819884181022644,0.5131080150604248,0.36804497241973877,0.2188420295715332,0.6004916429519653,0.3903004825115204,0.30839991569519043,0.4967309534549713,0.49505501985549927,0.6344757080078125,1.8614901304244995,1.4639124870300293,108.36346435546875,0.6119896769523621,0.09795869886875153,31181.22265625,0.0015799811808392406,8.996678661787882e-05,7.180433021858335e-05,2.4345128622371703e-05,0.00025674860808067024,4.9628612032392994e-05,0.0002867497457780033,326,0,0.0,0,0,,0.14781413413584232,0.794137230142951,5.859372615814209
5,0.003380119800567627,0.003380119800567627,-0.003380119800567627,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.03,True,False,25.44565364454253,0.9794802665710449,0.0028538729529827833,0.05342165380716324,0.9027197360992432,2.7917020320892334,2.299975633621216,0.8754345178604126,0.0,0.016034528613090515,0.18288317322731018,0.5203992128372192,0.37911486625671387,0.22374090552330017,0.6187794804573059,0.39914533495903015,0.3072201907634735,0.4953683614730835,0.49375900626182556,0.6378620862960815,1.9202154874801636,1.5078601837158203,110.59255981445312,0.6389424800872803,0.09944533556699753,31654.431640625,0.0017192026134580374,0.00016174392658285797,0.00011690366227412596,8.56005644891411e-05,0.0005825464613735676,0.00039098551496863365,0.0007344283989978577,326,0,0.0,0,0,,0.14682851918041706,0.9416256360709667,5.859372615814209
6,0.003885209560394287,0.003885209560394287,-0.003885209560394287,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.03,True,False,24.98883654358724,0.977266788482666,0.0031704166904091835,0.05630645155906677,0.9210455417633057,2.845278739929199,2.336000680923462,0.8751024007797241,0.0,0.016333261504769325,0.18575163185596466,0.534400224685669,0.3848842978477478,0.2237236499786377,0.6454411149024963,0.39658984541893005,0.31475377082824707,0.5078840851783752,0.5062764883041382,0.6438771486282349,1.9448235034942627,1.5266871452331543,114.34500885009766,0.6654479503631592,0.10255858302116394,32645.412109375,0.001959525980055332,2.1905800167587586e-05,2.031290205195546e-05,3.0242519642342813e-05,5.504171713255346e-05,4.43196295236703e-05,8.24676194096054e-05,326,0,0.0,0,0,,0.1470116190612316,1.089368423447013,5.859372615814209
7,0.004491209983825684,0.004491209983825684,-0.004491209983825684,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.03,True,False,24.594848392981824,0.9751693606376648,0.0034714839421212673,0.05891929939389229,0.9335094094276428,2.8796138763427734,2.3572428226470947,0.8764310479164124,0.0,0.016660049557685852,0.18837663531303406,0.5465556383132935,0.3895854353904724,0.2249094843864441,0.6684048175811768,0.3982408046722412,0.3155772387981415,0.5110780596733093,0.5092962384223938,0.6504809856414795,1.9623854160308838,1.5396044254302979,117.7744140625,0.6890244483947754,0.10533177852630615,33528.14453125,0.0022128084674477577,1.033493276736408e-06,8.564947506783938e-07,1.595071239535173e-06,4.222669758746633e-06,8.985585736809298e-06,1.014483291115114e-05,326,0,0.0,0,0,,0.14804221130907536,1.2377077117562294,5.859372615814209
8,0.005023598670959473,0.005023598670959473,-0.005023598670959473,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.03,True,False,24.258513811481176,0.9732201099395752,0.0037510134279727936,0.06124551594257355,0.9465199708938599,2.909898042678833,2.3757591247558594,0.8776493668556213,0.0,0.016994381323456764,0.19115924835205078,0.5574733018875122,0.3941781222820282,0.22730568051338196,0.6884365081787109,0.40357705950737,0.3159392476081848,0.5134475231170654,0.5116982460021973,0.6577099561691284,1.9778578281402588,1.551786184310913,121.05125427246094,0.7091375589370728,0.10803984105587006,34390.1484375,0.0024472016375511885,2.5199735318892635e-05,2.0602152289939113e-05,9.620112905395217e-06,9.787915041670203e-05,6.90438027959317e-05,0.00012449657305424727,326,0,0.0,0,0,,0.14981171302497387,1.388590943068266,5.859372615814209
9,0.0053552985191345215,0.0053552985191345215,-0.0053552985191345215,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.03,True,False,23.953972236633057,0.9712862372398376,0.004023488610982895,0.06343097239732742,0.9566535949707031,2.9219231605529785,2.380821466445923,0.8821820020675659,0.0,0.0173212718218565,0.194135844707489,0.5674642324447632,0.39936327934265137,0.2292047142982483,0.7060838937759399,0.40964314341545105,0.3143444359302521,0.5133394002914429,0.5115573406219482,0.6642490029335022,1.988569974899292,1.5570132732391357,123.76708221435547,0.7269577980041504,0.11028658598661423,35105.30859375,0.0026747442316263914,3.001323239004705e-05,2.4419476176262833e-05,1.945792610058561e-05,7.398606248898432e-05,2.073586620099377e-05,8.820220752955845e-05,326,0,0.0,0,0,,0.14528139866888523,1.5345080364495516,5.859372615814209
