iteration,Z,Z_total,loss,layer_name,prompt,timestep_index,image_id,identity_id,seed,learning_rate,finite_gradient_flag,nan_or_inf_flag,input_psnr,input_ssim,input_mse,input_l2,combined_mean_disp_px,combined_max_disp_px,combined_p95_disp_px,jacobian_det_min,foldover_fraction,smoothness_tv,tps_mean_disp,tps_max_disp,tps_p95_disp,delaunay_mean_disp,delaunay_max_disp,delaunay_p95_disp,rolling_mean_disp,rolling_max_disp,rolling_p95_disp,dct_mean_disp,dct_max_disp,dct_p95_disp,fft_phase_norm,fft_phase_max,fft_phase_mean_abs,legacy_fft_strength_equivalent,fft_spatial_delta_mse,tps_grad_norm,delaunay_grad_norm,rolling_grad_norm,dct_grad_norm,fft_grad_norm,total_grad_norm,num_total_params,num_clamped_total,fraction_clamped_total,num_at_min_total,num_at_max_total,components_at_boundary,seconds_iter,seconds_elapsed,peak_vram_gb
0,0.0007062554359436035,0.0007062554359436035,-0.0007062554359436035,vae_image_latent,add black sunglasses,6,joe_biden_01,joe_biden,1234,0.03,True,False,27.17242916892583,0.9819402098655701,0.0019175958586856723,0.043790362775325775,0.7494277954101562,1.9212477207183838,1.674102783203125,0.8746515512466431,0.0,0.01400594599545002,0.17096424102783203,0.4778667986392975,0.34311479330062866,0.20652326941490173,0.5307715535163879,0.3686310350894928,0.237868070602417,0.3973205089569092,0.39581573009490967,0.5555921196937561,1.4427913427352905,1.0737801790237427,101.47411346435547,0.5332565903663635,0.09171640872955322,29194.240234375,0.0006253696046769619,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.0525947455316782,0.07276668585836887,5.859372615814209
1,0.0007062554359436035,0.0007062554359436035,-0.0007062554359436035,vae_image_latent,add black sunglasses,6,joe_biden_01,joe_biden,1234,0.03,True,False,27.17242916892583,0.9819402098655701,0.0019175958586856723,0.043790362775325775,0.7494277954101562,1.9212477207183838,1.674102783203125,0.8746515512466431,0.0,0.01400594599545002,0.17096424102783203,0.4778667986392975,0.34311479330062866,0.20652326941490173,0.5307715535163879,0.3686310350894928,0.237868070602417,0.3973205089569092,0.39581573009490967,0.5555921196937561,1.4427913427352905,1.0737801790237427,101.47411346435547,0.5332565903663635,0.09171640872955322,29194.240234375,0.0006253696046769619,4.7389887186000124e-05,3.4710465115495026e-05,5.24308743479196e-05,0.0001298731949646026,2.71180433628615e-05,0.00015427912829370946,326,0,0.0,0,0,,0.08708736300468445,0.16046056151390076,5.859372615814209
2,0.0008759498596191406,0.0008759498596191406,-0.0008759498596191406,vae_image_latent,add black sunglasses,6,joe_biden_01,joe_biden,1234,0.03,True,False,27.00930816474915,0.9812110662460327,0.0019909904804080725,0.04462051764130592,0.798396110534668,1.9298408031463623,1.735136866569519,0.8703542947769165,0.0,0.014624997973442078,0.16874954104423523,0.4979530870914459,0.3353869616985321,0.2051251381635666,0.5297231674194336,0.3744751214981079,0.26974061131477356,0.4421420097351074,0.4405750632286072,0.5796562433242798,1.4709161520004272,1.1390210390090942,101.65576171875,0.5617578625679016,0.09148359298706055,29120.130859375,0.0005138803389854729,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.08637090399861336,0.24722905829548836,5.859372615814209
3,0.0010060667991638184,0.0010060667991638184,-0.0010060667991638184,vae_image_latent,add black sunglasses,6,joe_biden_01,joe_biden,1234,0.03,True,False,26.768856021742295,0.9801448583602905,0.00210433267056942,0.0458730049431324,0.8377012014389038,2.105006694793701,1.767716407775879,0.8675329685211182,0.0,0.01514158584177494,0.16889816522598267,0.511014461517334,0.3417988717556,0.20512551069259644,0.5300756096839905,0.3803834021091461,0.29114896059036255,0.472293883562088,0.47058945894241333,0.5998846292495728,1.547992467880249,1.2326273918151855,103.06329345703125,0.5804678797721863,0.09248454868793488,29438.74609375,0.0004673418588936329,2.2886826627654955e-05,1.9359356883796863e-05,2.7826486075355206e-06,6.7296095949132e-05,4.153684858465567e-05,8.46191998641618e-05,326,0,0.0,0,0,,0.08688770793378353,0.33483138121664524,5.859372615814209
4,0.0010544657707214355,0.0010544657707214355,-0.0010544657707214355,vae_image_latent,add black sunglasses,6,joe_biden_01,joe_biden,1234,0.03,True,False,26.575477228172552,0.9793340563774109,0.002200149931013584,0.0469057559967041,0.8641554117202759,2.245088577270508,1.814530611038208,0.8653546571731567,0.0,0.015332967042922974,0.16806718707084656,0.5219130516052246,0.34399518370628357,0.2049945890903473,0.5489521622657776,0.38345101475715637,0.30901145935058594,0.49736666679382324,0.4956483244895935,0.6120104789733887,1.6270066499710083,1.2973806858062744,104.35865020751953,0.5946311354637146,0.09317120909690857,29657.31640625,0.00043415313120931387,5.1236728637604756e-08,4.558897259698824e-08,6.615123027131631e-08,1.6112889511532558e-07,1.2085953358109691e-06,1.2230064385094037e-06,326,0,0.0,0,0,,0.08698886819183826,0.4224885981529951,5.859372615814209
5,0.0011428594589233398,0.0011428594589233398,-0.0011428594589233398,vae_image_latent,add black sunglasses,6,joe_biden_01,joe_biden,1234,0.03,True,False,26.38091851697101,0.9784625768661499,0.0023009551223367453,0.04796827211976051,0.8907015919685364,2.375732660293579,1.8959249258041382,0.8635252714157104,0.0,0.015565246343612671,0.16830182075500488,0.5306108593940735,0.34604984521865845,0.20518746972084045,0.5645655393600464,0.38684725761413574,0.32366669178009033,0.5179739594459534,0.5163640975952148,0.6262711882591248,1.703093409538269,1.355590581893921,105.87667083740234,0.6061010956764221,0.09412877261638641,29962.119140625,0.00042141700396314263,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.0861879326403141,0.5093128457665443,5.859372615814209
6,0.0012723207473754883,0.0012723207473754883,-0.0012723207473754883,vae_image_latent,add black sunglasses,6,joe_biden_01,joe_biden,1234,0.03,True,False,26.213794801588254,0.9776787757873535,0.0023912254255264997,0.04890015721321106,0.9171255230903625,2.4946227073669434,1.9813271760940552,0.8619850873947144,0.0,0.01583176478743553,0.16916750371456146,0.5378344058990479,0.350612998008728,0.205741286277771,0.5778576731681824,0.39057815074920654,0.33605265617370605,0.5354293584823608,0.533627986907959,0.6412960290908813,1.7751529216766357,1.4089306592941284,107.45532989501953,0.6156877875328064,0.09520873427391052,30305.880859375,0.0004192422784399241,5.08873381477315e-05,4.523025927483104e-05,1.481892559240805e-05,9.888916974887252e-05,0.000178721864358522,0.00021581350927815107,326,0,0.0,0,0,,0.08672977983951569,0.5966477971524,5.859372615814209
7,0.0012554526329040527,0.0012554526329040527,-0.0012554526329040527,vae_image_latent,add black sunglasses,6,joe_biden_01,joe_biden,1234,0.03,True,False,25.9790021154428,0.9765016436576843,0.0025240606628358364,0.05024002864956856,0.9500720500946045,2.6147894859313965,2.073112964630127,0.8581812977790833,0.0,0.016063209623098373,0.17057371139526367,0.544013500213623,0.3543202579021454,0.20751246809959412,0.5829232931137085,0.39479583501815796,0.3508385121822357,0.5563353896141052,0.5545373558998108,0.6530498266220093,1.854238510131836,1.4686658382415771,109.35795593261719,0.6114699244499207,0.0969373881816864,30856.12890625,0.00041470304131507874,4.248168352205539e-06,3.0298508590931306e-06,2.2487608930532588e-06,1.0253198524878826e-05,5.582640369539149e-05,5.7043836526679655e-05,326,0,0.0,0,0,,0.08698495104908943,0.6842188537120819,5.859372615814209
8,0.0012474656105041504,0.0012474656105041504,-0.0012474656105041504,vae_image_latent,add black sunglasses,6,joe_biden_01,joe_biden,1234,0.03,True,False,25.824031747312432,0.9757155179977417,0.002615753561258316,0.05114443972706795,0.9811594486236572,2.71757435798645,2.152583122253418,0.8551621437072754,0.0,0.01629466935992241,0.1722177416086197,0.54931640625,0.3593134582042694,0.2095276564359665,0.5876169204711914,0.4004664421081543,0.3628961145877838,0.5734953880310059,0.5716624855995178,0.6648606061935425,1.9224683046340942,1.5214881896972656,111.19273376464844,0.6076792478561401,0.09850665181875229,31355.642578125,0.0003924648044630885,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.08632882311940193,0.7710176892578602,5.859372615814209
9,0.001259922981262207,0.001259922981262207,-0.001259922981262207,vae_image_latent,add black sunglasses,6,joe_biden_01,joe_biden,1234,0.03,True,False,25.67879068781128,0.9749402403831482,0.0027047113981097937,0.05200684070587158,1.0103187561035156,2.8084044456481934,2.223968029022217,0.8525086045265198,0.0,0.016519786790013313,0.17426139116287231,0.5539383292198181,0.36409780383110046,0.2115764617919922,0.5919509530067444,0.40652456879615784,0.3735249638557434,0.5886329412460327,0.5868379473686218,0.676401674747467,1.9828062057495117,1.568937063217163,113.2317886352539,0.6043581366539001,0.10022922605276108,31903.953125,0.00037991831777617335,8.28917200124124e-06,6.689357633149484e-06,4.905949708700064e-07,3.473921969998628e-05,3.571318302419968e-05,5.095040125965328e-05,326,0,0.0,0,0,,0.08678726851940155,0.858438290655613,5.859372615814209
