iteration,Z,Z_total,loss,layer_name,prompt,timestep_index,image_id,identity_id,seed,learning_rate,finite_gradient_flag,nan_or_inf_flag,input_psnr,input_ssim,input_mse,input_l2,combined_mean_disp_px,combined_max_disp_px,combined_p95_disp_px,jacobian_det_min,foldover_fraction,smoothness_tv,tps_mean_disp,tps_max_disp,tps_p95_disp,delaunay_mean_disp,delaunay_max_disp,delaunay_p95_disp,rolling_mean_disp,rolling_max_disp,rolling_p95_disp,dct_mean_disp,dct_max_disp,dct_p95_disp,fft_phase_norm,fft_phase_max,fft_phase_mean_abs,legacy_fft_strength_equivalent,fft_spatial_delta_mse,tps_grad_norm,delaunay_grad_norm,rolling_grad_norm,dct_grad_norm,fft_grad_norm,total_grad_norm,num_total_params,num_clamped_total,fraction_clamped_total,num_at_min_total,num_at_max_total,components_at_boundary,seconds_iter,seconds_elapsed,peak_vram_gb
0,0.0009254813194274902,0.0009254813194274902,-0.0009254813194274902,vae_image_latent,add headphones,6,kamala_harris_01,kamala_harris,1234,0.03,True,False,26.71704827569565,0.984429121017456,0.002129585947841406,0.046147435903549194,0.7494277954101562,1.9212477207183838,1.674102783203125,0.8746515512466431,0.0,0.01400594599545002,0.17096424102783203,0.4778667986392975,0.34311479330062866,0.20652326941490173,0.5307715535163879,0.3686310350894928,0.237868070602417,0.3973205089569092,0.39581573009490967,0.5555921196937561,1.4427913427352905,1.0737801790237427,101.47411346435547,0.5332565903663635,0.09171640872955322,29194.240234375,0.001204964006319642,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.05103367194533348,0.0819495152682066,5.859372615814209
1,0.0009254813194274902,0.0009254813194274902,-0.0009254813194274902,vae_image_latent,add headphones,6,kamala_harris_01,kamala_harris,1234,0.03,True,False,26.71704827569565,0.984429121017456,0.002129585947841406,0.046147435903549194,0.7494277954101562,1.9212477207183838,1.674102783203125,0.8746515512466431,0.0,0.01400594599545002,0.17096424102783203,0.4778667986392975,0.34311479330062866,0.20652326941490173,0.5307715535163879,0.3686310350894928,0.237868070602417,0.3973205089569092,0.39581573009490967,0.5555921196937561,1.4427913427352905,1.0737801790237427,101.47411346435547,0.5332565903663635,0.09171640872955322,29194.240234375,0.001204964006319642,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.09528049640357494,0.19447309896349907,5.859372615814209
2,0.0009254813194274902,0.0009254813194274902,-0.0009254813194274902,vae_image_latent,add headphones,6,kamala_harris_01,kamala_harris,1234,0.03,True,False,26.71704827569565,0.984429121017456,0.002129585947841406,0.046147435903549194,0.7494277954101562,1.9212477207183838,1.674102783203125,0.8746515512466431,0.0,0.01400594599545002,0.17096424102783203,0.4778667986392975,0.34311479330062866,0.20652326941490173,0.5307715535163879,0.3686310350894928,0.237868070602417,0.3973205089569092,0.39581573009490967,0.5555921196937561,1.4427913427352905,1.0737801790237427,101.47411346435547,0.5332565903663635,0.09171640872955322,29194.240234375,0.001204964006319642,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.086885254830122,0.28179094940423965,5.859372615814209
3,0.0009254813194274902,0.0009254813194274902,-0.0009254813194274902,vae_image_latent,add headphones,6,kamala_harris_01,kamala_harris,1234,0.03,True,False,26.71704827569565,0.984429121017456,0.002129585947841406,0.046147435903549194,0.7494277954101562,1.9212477207183838,1.674102783203125,0.8746515512466431,0.0,0.01400594599545002,0.17096424102783203,0.4778667986392975,0.34311479330062866,0.20652326941490173,0.5307715535163879,0.3686310350894928,0.237868070602417,0.3973205089569092,0.39581573009490967,0.5555921196937561,1.4427913427352905,1.0737801790237427,101.47411346435547,0.5332565903663635,0.09171640872955322,29194.240234375,0.001204964006319642,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.08794741332530975,0.3702287785708904,5.859372615814209
4,0.0009254813194274902,0.0009254813194274902,-0.0009254813194274902,vae_image_latent,add headphones,6,kamala_harris_01,kamala_harris,1234,0.03,True,False,26.71704827569565,0.984429121017456,0.002129585947841406,0.046147435903549194,0.7494277954101562,1.9212477207183838,1.674102783203125,0.8746515512466431,0.0,0.01400594599545002,0.17096424102783203,0.4778667986392975,0.34311479330062866,0.20652326941490173,0.5307715535163879,0.3686310350894928,0.237868070602417,0.3973205089569092,0.39581573009490967,0.5555921196937561,1.4427913427352905,1.0737801790237427,101.47411346435547,0.5332565903663635,0.09171640872955322,29194.240234375,0.001204964006319642,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.08778910152614117,0.45856997556984425,5.859372615814209
5,0.0009254813194274902,0.0009254813194274902,-0.0009254813194274902,vae_image_latent,add headphones,6,kamala_harris_01,kamala_harris,1234,0.03,True,False,26.71704827569565,0.984429121017456,0.002129585947841406,0.046147435903549194,0.7494277954101562,1.9212477207183838,1.674102783203125,0.8746515512466431,0.0,0.01400594599545002,0.17096424102783203,0.4778667986392975,0.34311479330062866,0.20652326941490173,0.5307715535163879,0.3686310350894928,0.237868070602417,0.3973205089569092,0.39581573009490967,0.5555921196937561,1.4427913427352905,1.0737801790237427,101.47411346435547,0.5332565903663635,0.09171640872955322,29194.240234375,0.001204964006319642,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.08728914335370064,0.5464289635419846,5.859372615814209
6,0.0009254813194274902,0.0009254813194274902,-0.0009254813194274902,vae_image_latent,add headphones,6,kamala_harris_01,kamala_harris,1234,0.03,True,False,26.71704827569565,0.984429121017456,0.002129585947841406,0.046147435903549194,0.7494277954101562,1.9212477207183838,1.674102783203125,0.8746515512466431,0.0,0.01400594599545002,0.17096424102783203,0.4778667986392975,0.34311479330062866,0.20652326941490173,0.5307715535163879,0.3686310350894928,0.237868070602417,0.3973205089569092,0.39581573009490967,0.5555921196937561,1.4427913427352905,1.0737801790237427,101.47411346435547,0.5332565903663635,0.09171640872955322,29194.240234375,0.001204964006319642,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.08647951483726501,0.633366072550416,5.859372615814209
7,0.0009254813194274902,0.0009254813194274902,-0.0009254813194274902,vae_image_latent,add headphones,6,kamala_harris_01,kamala_harris,1234,0.03,True,False,26.71704827569565,0.984429121017456,0.002129585947841406,0.046147435903549194,0.7494277954101562,1.9212477207183838,1.674102783203125,0.8746515512466431,0.0,0.01400594599545002,0.17096424102783203,0.4778667986392975,0.34311479330062866,0.20652326941490173,0.5307715535163879,0.3686310350894928,0.237868070602417,0.3973205089569092,0.39581573009490967,0.5555921196937561,1.4427913427352905,1.0737801790237427,101.47411346435547,0.5332565903663635,0.09171640872955322,29194.240234375,0.001204964006319642,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.08681761473417282,0.7206809669733047,5.859372615814209
8,0.0009254813194274902,0.0009254813194274902,-0.0009254813194274902,vae_image_latent,add headphones,6,kamala_harris_01,kamala_harris,1234,0.03,True,False,26.71704827569565,0.984429121017456,0.002129585947841406,0.046147435903549194,0.7494277954101562,1.9212477207183838,1.674102783203125,0.8746515512466431,0.0,0.01400594599545002,0.17096424102783203,0.4778667986392975,0.34311479330062866,0.20652326941490173,0.5307715535163879,0.3686310350894928,0.237868070602417,0.3973205089569092,0.39581573009490967,0.5555921196937561,1.4427913427352905,1.0737801790237427,101.47411346435547,0.5332565903663635,0.09171640872955322,29194.240234375,0.001204964006319642,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.08772539161145687,0.8087989166378975,5.859372615814209
9,0.0009254813194274902,0.0009254813194274902,-0.0009254813194274902,vae_image_latent,add headphones,6,kamala_harris_01,kamala_harris,1234,0.03,True,False,26.71704827569565,0.984429121017456,0.002129585947841406,0.046147435903549194,0.7494277954101562,1.9212477207183838,1.674102783203125,0.8746515512466431,0.0,0.01400594599545002,0.17096424102783203,0.4778667986392975,0.34311479330062866,0.20652326941490173,0.5307715535163879,0.3686310350894928,0.237868070602417,0.3973205089569092,0.39581573009490967,0.5555921196937561,1.4427913427352905,1.0737801790237427,101.47411346435547,0.5332565903663635,0.09171640872955322,29194.240234375,0.001204964006319642,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.08691596426069736,0.8962297588586807,5.859372615814209
10,0.0009254813194274902,0.0009254813194274902,-0.0009254813194274902,vae_image_latent,add headphones,6,kamala_harris_01,kamala_harris,1234,0.03,True,False,26.71704827569565,0.984429121017456,0.002129585947841406,0.046147435903549194,0.7494277954101562,1.9212477207183838,1.674102783203125,0.8746515512466431,0.0,0.01400594599545002,0.17096424102783203,0.4778667986392975,0.34311479330062866,0.20652326941490173,0.5307715535163879,0.3686310350894928,0.237868070602417,0.3973205089569092,0.39581573009490967,0.5555921196937561,1.4427913427352905,1.0737801790237427,101.47411346435547,0.5332565903663635,0.09171640872955322,29194.240234375,0.001204964006319642,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.08703697845339775,0.9836694765836,5.859372615814209
11,0.0009254813194274902,0.0009254813194274902,-0.0009254813194274902,vae_image_latent,add headphones,6,kamala_harris_01,kamala_harris,1234,0.03,True,False,26.71704827569565,0.984429121017456,0.002129585947841406,0.046147435903549194,0.7494277954101562,1.9212477207183838,1.674102783203125,0.8746515512466431,0.0,0.01400594599545002,0.17096424102783203,0.4778667986392975,0.34311479330062866,0.20652326941490173,0.5307715535163879,0.3686310350894928,0.237868070602417,0.3973205089569092,0.39581573009490967,0.5555921196937561,1.4427913427352905,1.0737801790237427,101.47411346435547,0.5332565903663635,0.09171640872955322,29194.240234375,0.001204964006319642,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.08768833242356777,1.0717803873121738,5.859372615814209
12,0.0009254813194274902,0.0009254813194274902,-0.0009254813194274902,vae_image_latent,add headphones,6,kamala_harris_01,kamala_harris,1234,0.03,True,False,26.71704827569565,0.984429121017456,0.002129585947841406,0.046147435903549194,0.7494277954101562,1.9212477207183838,1.674102783203125,0.8746515512466431,0.0,0.01400594599545002,0.17096424102783203,0.4778667986392975,0.34311479330062866,0.20652326941490173,0.5307715535163879,0.3686310350894928,0.237868070602417,0.3973205089569092,0.39581573009490967,0.5555921196937561,1.4427913427352905,1.0737801790237427,101.47411346435547,0.5332565903663635,0.09171640872955322,29194.240234375,0.001204964006319642,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.08684864267706871,1.1591154765337706,5.859372615814209
13,0.0009254813194274902,0.0009254813194274902,-0.0009254813194274902,vae_image_latent,add headphones,6,kamala_harris_01,kamala_harris,1234,0.03,True,False,26.71704827569565,0.984429121017456,0.002129585947841406,0.046147435903549194,0.7494277954101562,1.9212477207183838,1.674102783203125,0.8746515512466431,0.0,0.01400594599545002,0.17096424102783203,0.4778667986392975,0.34311479330062866,0.20652326941490173,0.5307715535163879,0.3686310350894928,0.237868070602417,0.3973205089569092,0.39581573009490967,0.5555921196937561,1.4427913427352905,1.0737801790237427,101.47411346435547,0.5332565903663635,0.09171640872955322,29194.240234375,0.001204964006319642,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.0872730240225792,1.2469631806015968,5.859372615814209
14,0.0009254813194274902,0.0009254813194274902,-0.0009254813194274902,vae_image_latent,add headphones,6,kamala_harris_01,kamala_harris,1234,0.03,True,False,26.71704827569565,0.984429121017456,0.002129585947841406,0.046147435903549194,0.7494277954101562,1.9212477207183838,1.674102783203125,0.8746515512466431,0.0,0.01400594599545002,0.17096424102783203,0.4778667986392975,0.34311479330062866,0.20652326941490173,0.5307715535163879,0.3686310350894928,0.237868070602417,0.3973205089569092,0.39581573009490967,0.5555921196937561,1.4427913427352905,1.0737801790237427,101.47411346435547,0.5332565903663635,0.09171640872955322,29194.240234375,0.001204964006319642,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.08715507574379444,1.334563935175538,5.859372615814209
15,0.0009254813194274902,0.0009254813194274902,-0.0009254813194274902,vae_image_latent,add headphones,6,kamala_harris_01,kamala_harris,1234,0.03,True,False,26.71704827569565,0.984429121017456,0.002129585947841406,0.046147435903549194,0.7494277954101562,1.9212477207183838,1.674102783203125,0.8746515512466431,0.0,0.01400594599545002,0.17096424102783203,0.4778667986392975,0.34311479330062866,0.20652326941490173,0.5307715535163879,0.3686310350894928,0.237868070602417,0.3973205089569092,0.39581573009490967,0.5555921196937561,1.4427913427352905,1.0737801790237427,101.47411346435547,0.5332565903663635,0.09171640872955322,29194.240234375,0.001204964006319642,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.08673099987208843,1.4218632075935602,5.859372615814209
