iteration,Z,Z_total,loss,layer_name,prompt,timestep_index,image_id,identity_id,seed,learning_rate,finite_gradient_flag,nan_or_inf_flag,input_psnr,input_ssim,input_mse,input_l2,combined_mean_disp_px,combined_max_disp_px,combined_p95_disp_px,jacobian_det_min,foldover_fraction,smoothness_tv,tps_mean_disp,tps_max_disp,tps_p95_disp,delaunay_mean_disp,delaunay_max_disp,delaunay_p95_disp,rolling_mean_disp,rolling_max_disp,rolling_p95_disp,dct_mean_disp,dct_max_disp,dct_p95_disp,fft_phase_norm,fft_phase_max,fft_phase_mean_abs,legacy_fft_strength_equivalent,fft_spatial_delta_mse,tps_grad_norm,delaunay_grad_norm,rolling_grad_norm,dct_grad_norm,fft_grad_norm,total_grad_norm,num_total_params,num_clamped_total,fraction_clamped_total,num_at_min_total,num_at_max_total,components_at_boundary,seconds_iter,seconds_elapsed,peak_vram_gb
0,0.0005121231079101562,0.0005121231079101562,-0.0005121231079101562,unet.conv_in,add black sunglasses,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,43.40992284370099,0.9996753931045532,4.560450179269537e-05,0.006753110326826572,0.15237697958946228,0.4316994547843933,0.3538181483745575,0.9732325077056885,0.0,0.003031137865036726,0.05698808655142784,0.1592889428138733,0.11437159031629562,0.06074214726686478,0.1561092883348465,0.10842089354991913,0.04653941094875336,0.07773662358522415,0.07744220644235611,0.10163271427154541,0.2639252841472626,0.1964232176542282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134,0,0.0,0,0,,0.09206916391849518,0.1959129236638546,5.885756015777588
1,0.0005121231079101562,0.0005121231079101562,-0.0005121231079101562,unet.conv_in,add black sunglasses,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,43.40992284370099,0.9996753931045532,4.560450179269537e-05,0.006753110326826572,0.15237697958946228,0.4316994547843933,0.3538181483745575,0.9732325077056885,0.0,0.003031137865036726,0.05698808655142784,0.1592889428138733,0.11437159031629562,0.06074214726686478,0.1561092883348465,0.10842089354991913,0.04653941094875336,0.07773662358522415,0.07744220644235611,0.10163271427154541,0.2639252841472626,0.1964232176542282,0.0,0.0,0.0,0.0,0.0,4.292138328310102e-05,3.536993608577177e-05,1.6112981029436924e-05,0.00012796140799764544,0.0,0.0001404529373706414,134,0,0.0,0,0,,0.1426418013870716,0.3392593339085579,5.885756015777588
2,0.0007802844047546387,0.0007802844047546387,-0.0007802844047546387,unet.conv_in,add black sunglasses,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,42.24080164683781,0.999575138092041,5.9692509239539504e-05,0.0077260928228497505,0.18073011934757233,0.4574345052242279,0.38874274492263794,0.9656338095664978,0.0,0.0032878874335438013,0.057223595678806305,0.17915542423725128,0.11335773020982742,0.05882128328084946,0.18041600286960602,0.11062456667423248,0.06780821084976196,0.10774361342191696,0.10742176324129105,0.10625980794429779,0.2721030116081238,0.21947459876537323,0.0,0.0,0.0,0.0,0.0,9.4135230028769e-06,7.690427992201876e-06,1.2563888958538882e-05,3.581542841857299e-05,0.0,3.985415055671562e-05,134,0,0.0,0,0,,0.14308137260377407,0.48294530995190144,5.885756015777588
3,0.0011267662048339844,0.0011267662048339844,-0.0011267662048339844,unet.conv_in,add black sunglasses,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,40.84498616931303,0.999414324760437,8.231924584833905e-05,0.009072995744645596,0.21952706575393677,0.6189717650413513,0.44742804765701294,0.9493741393089294,0.0,0.003840979654341936,0.06077200174331665,0.19376109540462494,0.11945287883281708,0.05841350927948952,0.19735457003116608,0.10741832852363586,0.08890938013792038,0.13786518573760986,0.137436181306839,0.11753036826848984,0.4486238956451416,0.2712923288345337,0.0,0.0,0.0,0.0,0.0,2.5301045752712525e-05,1.789415364328306e-05,1.078680270438781e-05,8.092948701232672e-05,0.0,8.73285785493616e-05,134,0,0.0,0,0,,0.14305492490530014,0.6266672257333994,5.885756015777588
4,0.0014287233352661133,0.0014287233352661133,-0.0014287233352661133,unet.conv_in,add black sunglasses,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,39.3535982587498,0.9991744756698608,0.00011604867177084088,0.010772588662803173,0.25926584005355835,0.734772264957428,0.5224274396896362,0.9424410462379456,0.0,0.004313169978559017,0.0648706927895546,0.20650002360343933,0.1278628408908844,0.05896671488881111,0.21554753184318542,0.1063075140118599,0.10890679061412811,0.1668091118335724,0.16634449362754822,0.1321745067834854,0.5269323587417603,0.32447826862335205,0.0,0.0,0.0,0.0,0.0,3.343974822200835e-05,2.4872570065781474e-05,3.562279016477987e-05,9.793953358894214e-05,0.0,0.00011224079882810877,134,0,0.0,0,0,,0.1436745896935463,0.7709490638226271,5.885756015777588
5,0.0018927454948425293,0.0018927454948425293,-0.0018927454948425293,unet.conv_in,add black sunglasses,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,37.764891931017004,0.9988102316856384,0.0001673057267908007,0.012934671714901924,0.3046952784061432,0.7991942763328552,0.6240235567092896,0.9401839971542358,0.0,0.004872151650488377,0.06964735686779022,0.20392808318138123,0.13652288913726807,0.0614616684615612,0.2339380383491516,0.10870732367038727,0.12783785164356232,0.19397377967834473,0.19344504177570343,0.15130645036697388,0.5728066563606262,0.37936902046203613,0.0,0.0,0.0,0.0,0.0,7.079030183376744e-05,5.3003215725766495e-05,5.384066753322259e-06,0.0002136378170689568,0.0,0.00023128059314992538,134,0,0.0,0,0,,0.1475700568407774,0.9192245323210955,5.885756015777588
6,0.0021878480911254883,0.0021878480911254883,-0.0021878480911254883,unet.conv_in,add black sunglasses,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,36.67530779782726,0.998470664024353,0.00021501522860489786,0.014663397334516048,0.3444509506225586,0.8602930307388306,0.6842187643051147,0.9367623925209045,0.0,0.005397780332714319,0.07513581961393356,0.2061830312013626,0.14910008013248444,0.06385937333106995,0.2495056688785553,0.11219854652881622,0.14403820037841797,0.21756134927272797,0.21698836982250214,0.168427973985672,0.6136545538902283,0.41035011410713196,0.0,0.0,0.0,0.0,0.0,4.5426346332533285e-05,3.711838508024812e-05,2.3863146907388e-06,8.20254281279631e-05,0.0,0.0001008721607256815,134,0,0.0,0,0,,0.15261339396238327,1.0724465865641832,5.885756015777588
7,0.002363264560699463,0.002363264560699463,-0.002363264560699463,unet.conv_in,add black sunglasses,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,35.84619796685739,0.9981484413146973,0.0002602436870802194,0.016132069751620293,0.37669241428375244,0.8972877264022827,0.7447825074195862,0.9366129040718079,0.0,0.005819256417453289,0.08022987842559814,0.20530979335308075,0.1604531854391098,0.06611348688602448,0.2583439350128174,0.11708207428455353,0.15751667320728302,0.2371218502521515,0.23647260665893555,0.18214446306228638,0.6346092224121094,0.4279616177082062,0.0,0.0,0.0,0.0,0.0,0.00016949695418588817,0.00013973683235235512,9.915071132127196e-05,0.00039718838525004685,0.0,0.00046459130074423164,134,0,0.0,0,0,,0.1431141085922718,1.2163104973733425,5.885756015777588
8,0.0025763511657714844,0.0025763511657714844,-0.0025763511657714844,unet.conv_in,add black sunglasses,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,35.98357120188251,0.9982062578201294,0.0002521406568121165,0.015878938138484955,0.37351924180984497,0.8727119565010071,0.7234896421432495,0.9384014010429382,0.0,0.005786845460534096,0.08286845684051514,0.1992720365524292,0.16464447975158691,0.06630882620811462,0.26466697454452515,0.11942297220230103,0.152543306350708,0.22972926497459412,0.22907964885234833,0.18291416764259338,0.617966890335083,0.40930837392807007,0.0,0.0,0.0,0.0,0.0,0.0004532944585662335,0.0003363165888004005,2.9478771466528997e-05,0.0009430864593014121,0.0,0.001099484325378967,134,0,0.0,0,0,,0.1429499052464962,1.3598053120076656,5.885756015777588
9,0.00268399715423584,0.00268399715423584,-0.00268399715423584,unet.conv_in,add black sunglasses,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,36.32038777218145,0.9983400106430054,0.00023332497221417725,0.01527497824281454,0.365003764629364,0.8319134712219238,0.689270555973053,0.9407492280006409,0.0,0.00569384079426527,0.08419536054134369,0.20022372901439667,0.16600452363491058,0.06578584760427475,0.2518571615219116,0.11960955709218979,0.14546358585357666,0.219385027885437,0.21879303455352783,0.17821656167507172,0.5923511981964111,0.38934412598609924,0.0,0.0,0.0,0.0,0.0,0.00014844110410194844,0.00011288913083262742,4.7898465709295124e-05,0.0003572204732336104,0.0,0.00040580715464577584,134,0,0.0,0,0,,0.14652874693274498,1.5057323407381773,5.885756015777588
