iteration,Z,Z_total,loss,layer_name,prompt,timestep_index,image_id,identity_id,seed,learning_rate,finite_gradient_flag,nan_or_inf_flag,input_psnr,input_ssim,input_mse,input_l2,combined_mean_disp_px,combined_max_disp_px,combined_p95_disp_px,jacobian_det_min,foldover_fraction,smoothness_tv,tps_mean_disp,tps_max_disp,tps_p95_disp,delaunay_mean_disp,delaunay_max_disp,delaunay_p95_disp,rolling_mean_disp,rolling_max_disp,rolling_p95_disp,dct_mean_disp,dct_max_disp,dct_p95_disp,fft_phase_norm,fft_phase_max,fft_phase_mean_abs,legacy_fft_strength_equivalent,fft_spatial_delta_mse,tps_grad_norm,delaunay_grad_norm,rolling_grad_norm,dct_grad_norm,fft_grad_norm,total_grad_norm,num_total_params,num_clamped_total,fraction_clamped_total,num_at_min_total,num_at_max_total,components_at_boundary,seconds_iter,seconds_elapsed,peak_vram_gb
0,0.0005121231079101562,0.0005121231079101562,-0.0005121231079101562,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,43.40992284370099,0.9996753931045532,4.560450179269537e-05,0.006753110326826572,0.15237697958946228,0.4316994547843933,0.3538181483745575,0.9732325077056885,0.0,0.003031137865036726,0.05698808655142784,0.1592889428138733,0.11437159031629562,0.06074214726686478,0.1561092883348465,0.10842089354991913,0.04653941094875336,0.07773662358522415,0.07744220644235611,0.10163271427154541,0.2639252841472626,0.1964232176542282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134,0,0.0,0,0,,0.09133495576679707,0.18211995624005795,5.885756015777588
1,0.0005121231079101562,0.0005121231079101562,-0.0005121231079101562,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,43.40992284370099,0.9996753931045532,4.560450179269537e-05,0.006753110326826572,0.15237697958946228,0.4316994547843933,0.3538181483745575,0.9732325077056885,0.0,0.003031137865036726,0.05698808655142784,0.1592889428138733,0.11437159031629562,0.06074214726686478,0.1561092883348465,0.10842089354991913,0.04653941094875336,0.07773662358522415,0.07744220644235611,0.10163271427154541,0.2639252841472626,0.1964232176542282,0.0,0.0,0.0,0.0,0.0,4.2921368731185794e-05,3.5369943361729383e-05,1.6112981029436924e-05,0.00012796140799764544,0.0,0.00014045293475597166,134,0,0.0,0,0,,0.14340269193053246,0.32632172852754593,5.885756015777588
2,0.0007807612419128418,0.0007807612419128418,-0.0007807612419128418,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,42.24080111747356,0.999575138092041,5.969251651549712e-05,0.007726093288511038,0.18073011934757233,0.4574345052242279,0.38874274492263794,0.9656338095664978,0.0,0.0032878872007131577,0.057223595678806305,0.17915542423725128,0.11335773020982742,0.05882128328084946,0.18041600286960602,0.11062455922365189,0.06780821084976196,0.10774361342191696,0.10742176324129105,0.10625980794429779,0.2721030116081238,0.21947459876537323,0.0,0.0,0.0,0.0,0.0,6.0574134295166004e-06,5.0189159992442e-06,6.432153440982802e-06,2.2318183255265467e-05,0.0,2.4522554454369475e-05,134,0,0.0,0,0,,0.14313253946602345,0.4700202327221632,5.885756015777588
3,0.0011124610900878906,0.0011124610900878906,-0.0011124610900878906,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,40.84575587722442,0.9994144439697266,8.230465755332261e-05,0.009072191081941128,0.21859848499298096,0.6158271431922913,0.44680100679397583,0.9506894946098328,0.0,0.003864510450512171,0.06134415045380592,0.19375784695148468,0.12088603526353836,0.05828052759170532,0.19735457003116608,0.10720214992761612,0.08737411350011826,0.13575953245162964,0.1353406012058258,0.11992518603801727,0.44930335879325867,0.2755829393863678,0.0,0.0,0.0,0.0,0.0,1.5506611816817895e-05,1.096882715501124e-05,8.05495074018836e-06,4.955703843734227e-05,0.0,5.368009378998018e-05,134,0,0.0,0,0,,0.14312873035669327,0.6138167921453714,5.885756015777588
4,0.0014148950576782227,0.0014148950576782227,-0.0014148950576782227,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,39.37398348893967,0.999178409576416,0.00011550523049663752,0.010747335851192474,0.25714540481567383,0.7488698959350586,0.5306799411773682,0.9426669478416443,0.0,0.004354170989245176,0.06585101783275604,0.2065645009279251,0.12969079613685608,0.05872293561697006,0.2156759649515152,0.10628899186849594,0.10627982020378113,0.16325649619102478,0.16276980936527252,0.1349467933177948,0.5448223948478699,0.335300475358963,0.0,0.0,0.0,0.0,0.0,6.8583326537918765e-06,4.879352218267741e-06,8.632538992969785e-06,1.7979607946472242e-05,0.0,2.164790604732878e-05,134,0,0.0,0,0,,0.1448136568069458,0.7592399436980486,5.885756015777588
5,0.0017548203468322754,0.0017548203468322754,-0.0017548203468322754,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,38.05993038254479,0.9988881945610046,0.00015631727001164109,0.012502690777182579,0.297870934009552,0.8579818606376648,0.6294738054275513,0.9356752038002014,0.0,0.004850474186241627,0.07032918930053711,0.21745841205120087,0.14039652049541473,0.06073442101478577,0.2306753396987915,0.1081632524728775,0.12536349892616272,0.19110897183418274,0.19057804346084595,0.1520458608865738,0.6212588548660278,0.38850852847099304,0.0,0.0,0.0,0.0,0.0,2.952784598164726e-05,2.4287095584440976e-05,1.4692875083710533e-05,6.762060365872458e-05,0.0,7.905810089826021e-05,134,0,0.0,0,0,,0.14568247459828854,0.9053119253367186,5.885756015777588
6,0.0019285082817077637,0.0019285082817077637,-0.0019285082817077637,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,37.529874214170256,0.9987441301345825,0.00017660889716353267,0.013289428316056728,0.3153828978538513,0.8953826427459717,0.6534065008163452,0.9362037777900696,0.0,0.005137769505381584,0.07299549877643585,0.21637338399887085,0.145353764295578,0.062326256185770035,0.2461896687746048,0.11161055415868759,0.13132219016551971,0.19961562752723694,0.19902361929416656,0.16162267327308655,0.6487932205200195,0.4045347571372986,0.0,0.0,0.0,0.0,0.0,2.7580988898989744e-05,2.317997677891981e-05,3.3140393497888e-05,7.848737732274458e-05,0.0,9.250176404974769e-05,134,0,0.0,0,0,,0.14429922588169575,1.0505533125251532,5.885756015777588
7,0.002042531967163086,0.002042531967163086,-0.002042531967163086,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,37.4836845691856,0.9987308382987976,0.00017849725554697216,0.013360286131501198,0.31488192081451416,0.8510787487030029,0.6399375200271606,0.9414623975753784,0.0,0.005242324434220791,0.07512698322534561,0.20503287017345428,0.14957067370414734,0.06289303302764893,0.2595875859260559,0.11599297821521759,0.125582754611969,0.1912163496017456,0.19070643186569214,0.1659681797027588,0.6230065226554871,0.38501647114753723,0.0,0.0,0.0,0.0,0.0,0.0001128149451687932,0.00010525224934099242,6.365987792378291e-05,0.0003740085812751204,0.0,0.0004095610415670362,134,0,0.0,0,0,,0.14552196115255356,1.1967714168131351,5.885756015777588
8,0.002170085906982422,0.002170085906982422,-0.002170085906982422,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,36.72635885072404,0.9984890222549438,0.00021250253485050052,0.014577466994524002,0.3395075798034668,0.9436101317405701,0.6948076486587524,0.9369922876358032,0.0,0.005607864819467068,0.07820004224777222,0.19989174604415894,0.15533217787742615,0.06640954315662384,0.27244144678115845,0.1244935467839241,0.13174815475940704,0.2002490758895874,0.19965270161628723,0.18077212572097778,0.6993921399116516,0.4288666546344757,0.0,0.0,0.0,0.0,0.0,0.00016331444203387946,0.0001474251039326191,7.101695518940687e-05,0.0005247106309980154,0.0,0.0005733850560078197,134,0,0.0,0,0,,0.14434269070625305,1.3418141845613718,5.885756015777588
9,0.002202451229095459,0.002202451229095459,-0.002202451229095459,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,36.32915266922388,0.9983441233634949,0.00023285455245058984,0.015259572304785252,0.35945799946784973,1.028823971748352,0.7298248410224915,0.9314547181129456,0.0,0.005841256584972143,0.080098956823349,0.2024102509021759,0.15918055176734924,0.07083336263895035,0.2878645360469818,0.13365676999092102,0.1411990076303482,0.21351712942123413,0.21290385723114014,0.187241792678833,0.7638745307922363,0.4529518485069275,0.0,0.0,0.0,0.0,0.0,0.00019274381338618696,0.0001507376437075436,1.5492585589527152e-05,0.0006133560673333704,0.0,0.0006605434886304296,134,0,0.0,0,0,,0.1449120044708252,1.487335441634059,5.885756015777588
