iteration,Z,Z_total,input_preservation_weight,input_preservation_loss,loss,layer_name,prompt,timestep_index,image_id,identity_id,seed,learning_rate,finite_gradient_flag,nan_or_inf_flag,input_psnr,input_ssim,input_mse,input_l2,combined_mean_disp_px,combined_max_disp_px,combined_p95_disp_px,jacobian_det_min,foldover_fraction,smoothness_tv,tps_mean_disp,tps_max_disp,tps_p95_disp,delaunay_mean_disp,delaunay_max_disp,delaunay_p95_disp,rolling_mean_disp,rolling_max_disp,rolling_p95_disp,dct_mean_disp,dct_max_disp,dct_p95_disp,fft_phase_norm,fft_phase_max,fft_phase_mean_abs,legacy_fft_strength_equivalent,fft_spatial_delta_mse,tps_grad_norm,delaunay_grad_norm,rolling_grad_norm,dct_grad_norm,fft_grad_norm,total_grad_norm,num_total_params,num_clamped_total,fraction_clamped_total,num_at_min_total,num_at_max_total,components_at_boundary,seconds_iter,seconds_elapsed,peak_vram_gb,Z_increase_from_initial,valid_checkpoint,valid_checkpoint_score
0,0.0006208419799804688,0.0006208419799804688,1.0,0.00014740866026841104,-0.0004734333197120577,unet.conv_in,add black sunglasses,6,barack_obama_01,barack_obama,1234,0.018,True,False,38.31477000898284,0.9986578822135925,0.00014740866026841104,0.012141196988523006,0.19725406169891357,0.577694833278656,0.4629822075366974,0.9648504257202148,0.0,0.003994069993495941,0.08548212796449661,0.23893339931964874,0.17155739665031433,0.08503899723291397,0.21855299174785614,0.15178923308849335,0.06205253675580025,0.10364881902933121,0.10325627028942108,0.12195925414562225,0.31671032309532166,0.2357078641653061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134,0,0.0,0,0,,0.10755996964871883,0.22273172438144684,5.832516670227051,0.0,False,nan
1,0.0006208419799804688,0.0006208419799804688,1.0,0.00014740866026841104,-0.0004734333197120577,unet.conv_in,add black sunglasses,6,barack_obama_01,barack_obama,1234,0.018,True,False,38.31477000898284,0.9986578822135925,0.00014740866026841104,0.012141196988523006,0.19725406169891357,0.577694833278656,0.4629822075366974,0.9648504257202148,0.0,0.003994069993495941,0.08548212796449661,0.23893339931964874,0.17155739665031433,0.08503899723291397,0.21855299174785614,0.15178923308849335,0.06205253675580025,0.10364881902933121,0.10325627028942108,0.12195925414562225,0.31671032309532166,0.2357078641653061,0.0,0.0,0.0,0.0,0.0,0.00029938167426735163,0.00024145144561771303,0.0007307459600269794,0.000892070063855499,0.0,0.001215609659553967,134,0,0.0,0,0,,0.15733283944427967,0.38106953352689743,5.832516670227051,0.0,False,nan
2,0.00035774707794189453,0.00035774707794189453,1.0,6.89092994434759e-05,-0.0002888377639465034,unet.conv_in,add black sunglasses,6,barack_obama_01,barack_obama,1234,0.018,True,False,41.61722165255522,0.999372661113739,6.89092994434759e-05,0.008301162160933018,0.1471116542816162,0.48360612988471985,0.36231741309165955,0.9700257182121277,0.0,0.003293837420642376,0.07942269742488861,0.22393140196800232,0.1680004596710205,0.08551371097564697,0.225032240152359,0.15392053127288818,0.0439300611615181,0.07703566551208496,0.0767301544547081,0.11957421153783798,0.33808839321136475,0.21738018095493317,0.0,0.0,0.0,0.0,0.0,0.000181218798388727,0.00014583897427655756,0.00041071901796385646,0.0005460752290673554,0.0,0.0007218015841113483,134,0,0.0,0,0,,0.15759697556495667,0.5390446931123734,5.832516670227051,-0.0002630949020385742,False,nan
3,0.00020825862884521484,0.00020825862884521484,1.0,3.1813717214390635e-05,-0.0001764449116308242,unet.conv_in,add black sunglasses,6,barack_obama_01,barack_obama,1234,0.018,True,False,44.973855835999466,0.9997104406356812,3.1813717214390635e-05,0.005640365183353424,0.11548559367656708,0.33886921405792236,0.261350154876709,0.9758891463279724,0.0,0.002836537081748247,0.0777486264705658,0.21870896220207214,0.1662648618221283,0.0865618884563446,0.24072112143039703,0.16145245730876923,0.029498528689146042,0.05248873308300972,0.05225680023431778,0.11405323445796967,0.3127976059913635,0.2179708480834961,0.0,0.0,0.0,0.0,0.0,0.00010978280624840409,8.956394594861194e-05,0.00015286535199265927,0.00034241745015606284,0.0,0.0004008634318229588,134,0,0.0,0,0,,0.15885253064334393,0.6987670566886663,5.832516670227051,-0.0004125833511352539,False,nan
4,0.00014740228652954102,0.00014740228652954102,1.0,1.9372317183297127e-05,-0.00012802996207028627,unet.conv_in,add black sunglasses,6,barack_obama_01,barack_obama,1234,0.018,True,False,47.12818428855934,0.9998242855072021,1.9372317183297127e-05,0.004401399288326502,0.10384926199913025,0.38016632199287415,0.2183772325515747,0.9761002659797668,0.0,0.002704435493797064,0.07966940104961395,0.2316010743379593,0.16678844392299652,0.08828628063201904,0.2467212975025177,0.16949182748794556,0.02016337588429451,0.043562695384025574,0.03576509654521942,0.1106787919998169,0.28589215874671936,0.2170991599559784,0.0,0.0,0.0,0.0,0.0,7.822059706086293e-05,6.435039540519938e-05,8.354461897397414e-05,0.00023910986783448607,0.0,0.000272786853511483,134,0,0.0,0,0,,0.14684081636369228,0.8463177625089884,5.832516670227051,-0.00047343969345092773,False,nan
5,0.00014340877532958984,0.00014340877532958984,1.0,2.0614315872080624e-05,-0.00012279445945750922,unet.conv_in,add black sunglasses,6,barack_obama_01,barack_obama,1234,0.018,True,False,46.85831073567469,0.9998135566711426,2.0614315872080624e-05,0.004540299065411091,0.1059948056936264,0.403501033782959,0.22225289046764374,0.9740254878997803,0.0,0.002676554024219513,0.08338324725627899,0.24279725551605225,0.1729457825422287,0.09046688675880432,0.24975335597991943,0.17655503749847412,0.016059642657637596,0.05389579385519028,0.04637254402041435,0.11308914422988892,0.2507004737854004,0.2083890736103058,0.0,0.0,0.0,0.0,0.0,8.725153020350263e-05,7.081524381646886e-05,0.00021153007401153445,0.0002491222694516182,0.0,0.00034559297682054907,134,0,0.0,0,0,,0.14528251439332962,0.992169264703989,5.832516670227051,-0.0004774332046508789,False,nan
6,0.00015342235565185547,0.00015342235565185547,1.0,2.5513454602332786e-05,-0.0001279089046875015,unet.conv_in,add black sunglasses,6,barack_obama_01,barack_obama,1234,0.018,True,False,45.932307325641794,0.9997690916061401,2.5513454602332786e-05,0.005051084328442812,0.11365750432014465,0.39701852202415466,0.24539223313331604,0.9725961089134216,0.0,0.0026627182960510254,0.08744244277477264,0.25027698278427124,0.17914360761642456,0.09243761003017426,0.2659570872783661,0.1812930852174759,0.015140428207814693,0.05861978605389595,0.05190533399581909,0.11359865218400955,0.24194742739200592,0.20264898240566254,0.0,0.0,0.0,0.0,0.0,0.00010108169226441532,8.261606126325205e-05,0.00026812744908966124,0.0002878820232581347,0.0,0.0004145012790815216,134,0,0.0,0,0,,0.14559363201260567,1.1382321640849113,5.832516670227051,-0.0004674196243286133,False,nan
7,0.00017690658569335938,0.00017690658569335938,1.0,2.937464159913361e-05,-0.00014753194409422576,unet.conv_in,add black sunglasses,6,barack_obama_01,barack_obama,1234,0.018,True,False,45.32027423527633,0.9997336268424988,2.937464159913361e-05,0.005419837776571512,0.11746375262737274,0.3668307363986969,0.2602883279323578,0.9728803038597107,0.0,0.002641323022544384,0.0907355546951294,0.2534566819667816,0.1844288855791092,0.0935971811413765,0.27609339356422424,0.18283872306346893,0.014884835109114647,0.05883369594812393,0.05196654796600342,0.11044277250766754,0.23782745003700256,0.20814640820026398,0.0,0.0,0.0,0.0,0.0,0.00011044497659895569,9.115836292039603e-05,0.0002717120514716953,0.0003293982008472085,0.0,0.00045037601359597916,134,0,0.0,0,0,,0.14497005566954613,1.2839762400835752,5.832516670227051,-0.0004439353942871094,False,nan
8,0.00017786026000976562,0.00017786026000976562,1.0,2.8735667001456022e-05,-0.0001491245930083096,unet.conv_in,add black sunglasses,6,barack_obama_01,barack_obama,1234,0.018,True,False,45.415787177337,0.9997391104698181,2.8735667001456022e-05,0.005360566079616547,0.11440426111221313,0.3645383417606354,0.2529105544090271,0.9744965434074402,0.0,0.0025906662922352552,0.09259539097547531,0.25323280692100525,0.18718641996383667,0.09365353733301163,0.2797706425189972,0.18145790696144104,0.014202618971467018,0.05592337250709534,0.04943079501390457,0.1085004210472107,0.22957061231136322,0.21146835386753082,0.0,0.0,0.0,0.0,0.0,0.0001065595424734056,8.878912922227755e-05,0.00023784657241776586,0.00033635765430517495,0.0,0.00043467908758157545,134,0,0.0,0,0,,0.14488516747951508,1.4294440764933825,5.832516670227051,-0.0004429817199707031,False,nan
9,0.00015115737915039062,0.00015115737915039062,1.0,2.4292696252814494e-05,-0.00012686468835454434,unet.conv_in,add black sunglasses,6,barack_obama_01,barack_obama,1234,0.018,True,False,46.145242800596804,0.999779224395752,2.4292696252814494e-05,0.0049287620931863785,0.10655844956636429,0.37538033723831177,0.23181378841400146,0.9752959609031677,0.0,0.002542562782764435,0.09303336590528488,0.2507345378398895,0.18762588500976562,0.09283272922039032,0.2788664400577545,0.1782301813364029,0.013494616374373436,0.05113857984542847,0.04503310099244118,0.10796865820884705,0.22756324708461761,0.20737725496292114,0.0,0.0,0.0,0.0,0.0,9.196236351272091e-05,7.724502211203799e-05,0.00018246432591695338,0.00031081901397556067,0.0,0.00037990203924828176,134,0,0.0,0,0,,0.14799829944968224,1.5779514890164137,5.832516670227051,-0.0004696846008300781,False,nan
