iteration,Z,Z_total,input_preservation_weight,input_preservation_loss,loss,layer_name,prompt,timestep_index,image_id,identity_id,seed,learning_rate,finite_gradient_flag,nan_or_inf_flag,input_psnr,input_ssim,input_mse,input_l2,combined_mean_disp_px,combined_max_disp_px,combined_p95_disp_px,jacobian_det_min,foldover_fraction,smoothness_tv,tps_mean_disp,tps_max_disp,tps_p95_disp,delaunay_mean_disp,delaunay_max_disp,delaunay_p95_disp,rolling_mean_disp,rolling_max_disp,rolling_p95_disp,dct_mean_disp,dct_max_disp,dct_p95_disp,fft_phase_norm,fft_phase_max,fft_phase_mean_abs,legacy_fft_strength_equivalent,fft_spatial_delta_mse,tps_grad_norm,delaunay_grad_norm,rolling_grad_norm,dct_grad_norm,fft_grad_norm,total_grad_norm,num_total_params,num_clamped_total,fraction_clamped_total,num_at_min_total,num_at_max_total,components_at_boundary,seconds_iter,seconds_elapsed,peak_vram_gb,Z_increase_from_initial,valid_checkpoint,valid_checkpoint_score
0,0.0006208419799804688,0.0006208419799804688,1.0,0.00014740866026841104,-0.0004734333197120577,unet.conv_in,add headphones,6,barack_obama_01,barack_obama,1234,0.018,True,False,38.31477000898284,0.9986578822135925,0.00014740866026841104,0.012141196988523006,0.19725406169891357,0.577694833278656,0.4629822075366974,0.9648504257202148,0.0,0.003994069993495941,0.08548212796449661,0.23893339931964874,0.17155739665031433,0.08503899723291397,0.21855299174785614,0.15178923308849335,0.06205253675580025,0.10364881902933121,0.10325627028942108,0.12195925414562225,0.31671032309532166,0.2357078641653061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134,0,0.0,0,0,,0.2556034214794636,1.0581558868288994,4.29939079284668,0.0,False,nan
1,0.0006208419799804688,0.0006208419799804688,1.0,0.00014740866026841104,-0.0004734333197120577,unet.conv_in,add headphones,6,barack_obama_01,barack_obama,1234,0.018,True,False,38.31477000898284,0.9986578822135925,0.00014740866026841104,0.012141196988523006,0.19725406169891357,0.577694833278656,0.4629822075366974,0.9648504257202148,0.0,0.003994069993495941,0.08548212796449661,0.23893339931964874,0.17155739665031433,0.08503899723291397,0.21855299174785614,0.15178923308849335,0.06205253675580025,0.10364881902933121,0.10325627028942108,0.12195925414562225,0.31671032309532166,0.2357078641653061,0.0,0.0,0.0,0.0,0.0,0.0002993811503984034,0.00024145148927345872,0.0007307459600269794,0.000892070063855499,0.0,0.0012156095392062158,134,0,0.0,0,0,,0.32319541461765766,1.3821799401193857,5.818844795227051,0.0,False,nan
2,0.00035774707794189453,0.00035774707794189453,1.0,6.89092994434759e-05,-0.0002888377639465034,unet.conv_in,add headphones,6,barack_obama_01,barack_obama,1234,0.018,True,False,41.61722165255522,0.999372661113739,6.89092994434759e-05,0.008301162160933018,0.1471116542816162,0.48360610008239746,0.36231741309165955,0.9700257182121277,0.0,0.003293837420642376,0.07942269742488861,0.22393140196800232,0.1680004596710205,0.08551371097564697,0.225032240152359,0.15392053127288818,0.0439300611615181,0.07703566551208496,0.0767301544547081,0.11957421153783798,0.33808839321136475,0.21738018095493317,0.0,0.0,0.0,0.0,0.0,0.00018121885659638792,0.00014583885786123574,0.00041071901796385646,0.0005460752290673554,0.0,0.0007218015752036922,134,0,0.0,0,0,,0.14320330508053303,1.526212939992547,5.818844795227051,-0.0002630949020385742,False,nan
3,0.0002079010009765625,0.0002079010009765625,1.0,3.1813717214390635e-05,-0.00017608728376217186,unet.conv_in,add headphones,6,barack_obama_01,barack_obama,1234,0.018,True,False,44.973855835999466,0.9997103214263916,3.1813717214390635e-05,0.005640365183353424,0.11548559367656708,0.33886921405792236,0.2613501250743866,0.9758891463279724,0.0,0.002836537081748247,0.0777486264705658,0.21870896220207214,0.1662648320198059,0.0865618884563446,0.24072112143039703,0.16145244240760803,0.029498528689146042,0.05248873308300972,0.05225680023431778,0.11405323445796967,0.3127976059913635,0.2179708629846573,0.0,0.0,0.0,0.0,0.0,0.00010978292266372591,8.956401870818809e-05,0.00015286535199265927,0.00034241745015606284,0.0,0.0004008634799616569,134,0,0.0,0,0,,0.14879724383354187,1.6755369324237108,5.818844795227051,-0.00041294097900390625,False,nan
4,0.0001474618911743164,0.0001474618911743164,1.0,1.9372320821275935e-05,-0.00012808956671506166,unet.conv_in,add headphones,6,barack_obama_01,barack_obama,1234,0.018,True,False,47.1281834729863,0.9998242855072021,1.9372320821275935e-05,0.004401399753987789,0.10384926199913025,0.38016629219055176,0.2183772623538971,0.9761002659797668,0.0,0.0027044357266277075,0.07966940850019455,0.23160108923912048,0.16678845882415771,0.08828628063201904,0.2467212826013565,0.16949184238910675,0.02016337588429451,0.04356269910931587,0.03576510027050972,0.1106787919998169,0.28589215874671936,0.2170991748571396,0.0,0.0,0.0,0.0,0.0,7.822056068107486e-05,6.435040995711461e-05,8.354462624993175e-05,0.00023910991149023175,0.0,0.0002727868870070878,134,0,0.0,0,0,,0.14339019916951656,1.8196326233446598,5.818844795227051,-0.00047338008880615234,False,nan
5,0.00014322996139526367,0.00014322996139526367,1.0,2.0614321329048835e-05,-0.00012261564552318305,unet.conv_in,add headphones,6,barack_obama_01,barack_obama,1234,0.018,True,False,46.858309586021754,0.9998135566711426,2.0614321329048835e-05,0.004540299531072378,0.10599477589130402,0.4035010039806366,0.2222529649734497,0.9740254878997803,0.0,0.002676554024219513,0.08338324725627899,0.24279724061489105,0.1729457527399063,0.09046689420938492,0.24975340068340302,0.17655503749847412,0.016059642657637596,0.05389579385519028,0.04637254402041435,0.11308906972408295,0.25070053339004517,0.2083890587091446,0.0,0.0,0.0,0.0,0.0,8.725155930733308e-05,7.081525109242648e-05,0.00021153019042685628,0.00024912229855544865,0.0,0.00034559307789424346,134,0,0.0,0,0,,0.14568987675011158,1.9657954592257738,5.818844795227051,-0.0004776120185852051,False,nan
6,0.0001533031463623047,0.0001533031463623047,1.0,2.551345642132219e-05,-0.0001277896953979507,unet.conv_in,add headphones,6,barack_obama_01,barack_obama,1234,0.018,True,False,45.932307016010256,0.9997690916061401,2.551345642132219e-05,0.005051084794104099,0.11365749686956406,0.39701858162879944,0.24539226293563843,0.9725961089134216,0.0,0.002662717830389738,0.08744243532419205,0.25027695298194885,0.17914360761642456,0.09243761003017426,0.2659571170806885,0.1812930852174759,0.015140429139137268,0.05861978605389595,0.05190533399581909,0.11359865218400955,0.24194733798503876,0.20264899730682373,0.0,0.0,0.0,0.0,0.0,0.00010108176502399147,8.261622133431956e-05,0.0002681275364011526,0.00028788213967345655,0.0,0.00041450146606187736,134,0,0.0,0,0,,0.14253703691065311,2.108838578686118,5.818844795227051,-0.00046753883361816406,False,nan
7,0.00017696619033813477,0.00017696619033813477,1.0,2.937464159913361e-05,-0.00014759154873900115,unet.conv_in,add headphones,6,barack_obama_01,barack_obama,1234,0.018,True,False,45.32027423527633,0.9997336268424988,2.937464159913361e-05,0.005419837776571512,0.11746372282505035,0.3668307662010193,0.2602883577346802,0.9728803038597107,0.0,0.0026413227897137403,0.0907355546951294,0.25345665216445923,0.184428870677948,0.0935971811413765,0.276093453168869,0.18283872306346893,0.014884835109114647,0.058833688497543335,0.05196654051542282,0.11044277995824814,0.2378273606300354,0.2081463783979416,0.0,0.0,0.0,0.0,0.0,0.0001104449838749133,9.115842840401456e-05,0.0002717120514716953,0.0003293982008472085,0.0,0.0004503760286344676,134,0,0.0,0,0,,0.14070295169949532,2.2501132879406214,5.818844795227051,-0.000443875789642334,False,nan
8,0.00017714500427246094,0.00017714500427246094,1.0,2.873565063055139e-05,-0.00014840935182292014,unet.conv_in,add headphones,6,barack_obama_01,barack_obama,1234,0.018,True,False,45.41578965154286,0.9997391104698181,2.873565063055139e-05,0.005360564216971397,0.11440423130989075,0.3645382225513458,0.25291043519973755,0.9744965434074402,0.0,0.0025906655937433243,0.09259537607431412,0.25323283672332764,0.18718641996383667,0.09365353733301163,0.2797706425189972,0.18145789206027985,0.014202617108821869,0.05592336505651474,0.049430783838033676,0.1085003912448883,0.22957056760787964,0.21146824955940247,0.0,0.0,0.0,0.0,0.0,0.0001065595424734056,8.878913649823517e-05,0.000237846645177342,0.00033635759609751403,0.0,0.00043467908383870805,134,0,0.0,0,0,,0.14168869704008102,2.3921667989343405,5.818844795227051,-0.0004436969757080078,False,nan
9,0.00015097856521606445,0.00015097856521606445,1.0,2.4292679881909862e-05,-0.0001266858889721334,unet.conv_in,add headphones,6,barack_obama_01,barack_obama,1234,0.018,True,False,46.145245727318425,0.999779224395752,2.4292679881909862e-05,0.0049287606962025166,0.1065584123134613,0.37538015842437744,0.23181366920471191,0.9752959609031677,0.0,0.00254256185144186,0.09303335845470428,0.2507345676422119,0.18762589991092682,0.09283272922039032,0.2788664400577545,0.1782301962375641,0.013494616374373436,0.05113857239484787,0.04503308981657028,0.10796861350536346,0.22756327688694,0.2073771059513092,0.0,0.0,0.0,0.0,0.0,9.196234896080568e-05,7.724502211203799e-05,0.0001824642822612077,0.0003108190721832216,0.0,0.00037990206238110185,134,0,0.0,0,0,,0.14348477683961391,2.536148775368929,5.818844795227051,-0.0004698634147644043,False,nan
