iteration,Z,Z_total,loss,layer_name,prompt,timestep_index,image_id,identity_id,seed,learning_rate,finite_gradient_flag,nan_or_inf_flag,input_psnr,input_ssim,input_mse,input_l2,combined_mean_disp_px,combined_max_disp_px,combined_p95_disp_px,jacobian_det_min,foldover_fraction,smoothness_tv,tps_mean_disp,tps_max_disp,tps_p95_disp,delaunay_mean_disp,delaunay_max_disp,delaunay_p95_disp,rolling_mean_disp,rolling_max_disp,rolling_p95_disp,dct_mean_disp,dct_max_disp,dct_p95_disp,fft_phase_norm,fft_phase_max,fft_phase_mean_abs,legacy_fft_strength_equivalent,fft_spatial_delta_mse,tps_grad_norm,delaunay_grad_norm,rolling_grad_norm,dct_grad_norm,fft_grad_norm,total_grad_norm,num_total_params,num_clamped_total,fraction_clamped_total,num_at_min_total,num_at_max_total,components_at_boundary,seconds_iter,seconds_elapsed,peak_vram_gb
0,0.0010647773742675781,0.0010647773742675781,-0.0010647773742675781,unet.conv_in,add headphones,6,joe_biden_01,joe_biden,1234,0.03,True,False,27.17242916892583,0.9819402098655701,0.0019175958586856723,0.043790362775325775,0.7494277954101562,1.9212477207183838,1.674102783203125,0.8746515512466431,0.0,0.01400594599545002,0.17096424102783203,0.4778667986392975,0.34311479330062866,0.20652326941490173,0.5307715535163879,0.3686310350894928,0.237868070602417,0.3973205089569092,0.39581573009490967,0.5555921196937561,1.4427913427352905,1.0737801790237427,101.47411346435547,0.5332565903663635,0.09171640872955322,29194.240234375,0.0006253696046769619,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.09188732877373695,0.18117213435471058,5.848873138427734
1,0.0010647773742675781,0.0010647773742675781,-0.0010647773742675781,unet.conv_in,add headphones,6,joe_biden_01,joe_biden,1234,0.03,True,False,27.17242916892583,0.9819402098655701,0.0019175958586856723,0.043790362775325775,0.7494277954101562,1.9212477207183838,1.674102783203125,0.8746515512466431,0.0,0.01400594599545002,0.17096424102783203,0.4778667986392975,0.34311479330062866,0.20652326941490173,0.5307715535163879,0.3686310350894928,0.237868070602417,0.3973205089569092,0.39581573009490967,0.5555921196937561,1.4427913427352905,1.0737801790237427,101.47411346435547,0.5332565903663635,0.09171640872955322,29194.240234375,0.0006253696046769619,5.656518624164164e-05,4.202520722174086e-05,6.33735689916648e-05,0.00015720193914603442,2.704746111703571e-05,0.00018554234666909392,326,0,0.0,0,0,,0.14616468362510204,0.32799017429351807,5.848873138427734
2,0.0011200904846191406,0.0011200904846191406,-0.0011200904846191406,unet.conv_in,add headphones,6,joe_biden_01,joe_biden,1234,0.03,True,False,26.87192050858803,0.9804409742355347,0.002054981654509902,0.04533190652728081,0.8077715635299683,1.9059714078903198,1.740533709526062,0.8681485056877136,0.0,0.014461138285696507,0.1751703917980194,0.4585774838924408,0.33375284075737,0.2035725712776184,0.5555371046066284,0.3736565411090851,0.26974308490753174,0.44214504957199097,0.44057798385620117,0.581028938293457,1.5591282844543457,1.12734854221344,101.6945571899414,0.5621733069419861,0.0914350152015686,29104.66796875,0.000592031457927078,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.14866122603416443,0.47747894562780857,5.848873138427734
3,0.0011751055717468262,0.0011751055717468262,-0.0011751055717468262,unet.conv_in,add headphones,6,joe_biden_01,joe_biden,1234,0.03,True,False,26.59242783478677,0.9790319204330444,0.002191579435020685,0.04681430757045746,0.8572965860366821,1.963818907737732,1.7984849214553833,0.8635212182998657,0.0,0.014973612502217293,0.18006154894828796,0.44673264026641846,0.34264057874679565,0.20293399691581726,0.5710951685905457,0.3804754912853241,0.29115378856658936,0.47229981422424316,0.4705951511859894,0.6048969626426697,1.6651933193206787,1.1936124563217163,103.05681610107422,0.5812634229660034,0.09242530912160873,29419.890625,0.0005984782474115491,8.408247822444537e-07,7.444265861522581e-07,4.152043686644902e-08,2.855068260032567e-06,1.1186195479240268e-05,1.1599364865047789e-05,326,0,0.0,0,0,,0.1448447983711958,0.623088113963604,5.848873138427734
4,0.001286149024963379,0.001286149024963379,-0.001286149024963379,unet.conv_in,add headphones,6,joe_biden_01,joe_biden,1234,0.03,True,False,26.365464856107472,0.977895200252533,0.0023091572802513838,0.048053693026304245,0.8998277187347412,2.102860689163208,1.8380151987075806,0.8480768799781799,0.0,0.015440113842487335,0.18490883708000183,0.43815428018569946,0.3484332263469696,0.20264509320259094,0.5825155973434448,0.3862111270427704,0.30768924951553345,0.4956433176994324,0.4939776360988617,0.6264220476150513,1.7593069076538086,1.2579773664474487,104.50653076171875,0.5957716107368469,0.09365986287593842,29812.859375,0.0005978111876174808,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.14495570957660675,0.7687076292932034,5.848873138427734
5,0.0014497041702270508,0.0014497041702270508,-0.0014497041702270508,unet.conv_in,add headphones,6,joe_biden_01,joe_biden,1234,0.03,True,False,26.156099364674198,0.9768013954162598,0.002423204481601715,0.049226053059101105,0.9366875290870667,2.234337091445923,1.8692682981491089,0.8334757685661316,0.0,0.015878664329648018,0.18955419957637787,0.4315464198589325,0.35509976744651794,0.20290496945381165,0.5916475057601929,0.3919117748737335,0.3212331533432007,0.5147949457168579,0.5131747126579285,0.6456501483917236,1.8445332050323486,1.3162897825241089,106.05354309082031,0.6075446009635925,0.09498549997806549,30234.822265625,0.0006117431330494583,3.7723650621046545e-06,2.90779235001537e-06,4.95877543471579e-07,9.035630682774354e-06,4.398066721478244e-06,1.1131823829579e-05,326,0,0.0,0,0,,0.14589205943048,0.9152593929320574,5.848873138427734
6,0.001621246337890625,0.001621246337890625,-0.001621246337890625,unet.conv_in,add headphones,6,joe_biden_01,joe_biden,1234,0.03,True,False,25.984832136644933,0.9758501052856445,0.002520674606785178,0.050206322222948074,0.9658470153808594,2.3488340377807617,1.9057971239089966,0.8219340443611145,0.0,0.016249116510152817,0.1934833824634552,0.43092289566993713,0.364060640335083,0.20205196738243103,0.5992467403411865,0.3975541293621063,0.332520067691803,0.5307996869087219,0.5289881825447083,0.6616603136062622,1.911216139793396,1.3686612844467163,107.43851470947266,0.6168721914291382,0.09607593715190887,30581.919921875,0.0006322507979348302,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.145595945417881,1.0614716652780771,5.848873138427734
7,0.0017707347869873047,0.0017707347869873047,-0.0017707347869873047,unet.conv_in,add headphones,6,joe_biden_01,joe_biden,1234,0.03,True,False,25.836398688984197,0.974993884563446,0.0026083155535161495,0.05107166990637779,0.9918678998947144,2.448202610015869,1.9685745239257812,0.8119886517524719,0.0,0.01660100743174553,0.19727247953414917,0.44651755690574646,0.37244901061058044,0.20163269340991974,0.6056918501853943,0.4028764069080353,0.3422474265098572,0.5445995926856995,0.5428639054298401,0.6760566830635071,1.9718725681304932,1.4160600900650024,108.79349517822266,0.6248522996902466,0.09715085476636887,30924.076171875,0.0006574428989551961,1.94666936295107e-05,1.360555052087875e-05,1.879137198557146e-05,6.145169754745439e-05,0.00011144821473862976,0.00013082123117763827,326,0,0.0,0,0,,0.1471485048532486,1.2093318216502666,5.848873138427734
8,0.0020688772201538086,0.0020688772201538086,-0.0020688772201538086,unet.conv_in,add headphones,6,joe_biden_01,joe_biden,1234,0.03,True,False,25.708164161734494,0.9742465019226074,0.002686479827389121,0.051831264048814774,1.0035661458969116,2.5033512115478516,2.0183887481689453,0.8029048442840576,0.0,0.01663830690085888,0.19676730036735535,0.462395042181015,0.37387165427207947,0.2032955288887024,0.6121826767921448,0.410537987947464,0.3459227681159973,0.5497527718544006,0.5480967164039612,0.6841248869895935,2.0389559268951416,1.4550620317459106,111.05150604248047,0.6411413550376892,0.09891365468502045,31485.193359375,0.00068444455973804,2.3503716874984093e-05,1.705634167592507e-05,5.89939691053587e-06,6.467898492701352e-05,2.6487890863791108e-05,7.591525430250696e-05,326,0,0.0,0,0,,0.147107707336545,1.3571543470025063,5.848873138427734
9,0.0023616552352905273,0.0023616552352905273,-0.0023616552352905273,unet.conv_in,add headphones,6,joe_biden_01,joe_biden,1234,0.03,True,False,25.593579247534258,0.9735629558563232,0.0027583036571741104,0.052519556134939194,1.0099847316741943,2.501265287399292,2.0373406410217285,0.7951728105545044,0.0,0.016550809144973755,0.1952853798866272,0.4766814112663269,0.37050965428352356,0.20455054938793182,0.6174356937408447,0.4153669774532318,0.3478609025478363,0.5524020195007324,0.5507162809371948,0.6905637979507446,2.0960464477539062,1.4706621170043945,113.56351470947266,0.6551737189292908,0.10082882642745972,32094.810546875,0.000730046012904495,3.112983222308685e-06,2.665245801836136e-06,2.3168975076259812e-06,1.4629330507887062e-05,4.090456786798313e-05,4.369626067940891e-05,326,0,0.0,0,0,,0.1497987937182188,1.507632665336132,5.848873138427734
