iteration,Z,Z_total,input_preservation_weight,input_preservation_loss,loss,layer_name,prompt,timestep_index,image_id,identity_id,seed,learning_rate,finite_gradient_flag,nan_or_inf_flag,input_psnr,input_ssim,input_mse,input_l2,combined_mean_disp_px,combined_max_disp_px,combined_p95_disp_px,jacobian_det_min,foldover_fraction,smoothness_tv,tps_mean_disp,tps_max_disp,tps_p95_disp,delaunay_mean_disp,delaunay_max_disp,delaunay_p95_disp,rolling_mean_disp,rolling_max_disp,rolling_p95_disp,dct_mean_disp,dct_max_disp,dct_p95_disp,fft_phase_norm,fft_phase_max,fft_phase_mean_abs,legacy_fft_strength_equivalent,fft_spatial_delta_mse,tps_grad_norm,delaunay_grad_norm,rolling_grad_norm,dct_grad_norm,fft_grad_norm,total_grad_norm,num_total_params,num_clamped_total,fraction_clamped_total,num_at_min_total,num_at_max_total,components_at_boundary,seconds_iter,seconds_elapsed,peak_vram_gb,Z_increase_from_initial,valid_checkpoint,valid_checkpoint_score
0,0.0007866621017456055,0.0007866621017456055,0.0,7.548775465693325e-05,-0.0007866621017456055,unet.conv_in,add black sunglasses,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,41.22123492294514,0.9994623064994812,7.548775465693325e-05,0.008688368834555149,0.19725406169891357,0.577694833278656,0.4629822075366974,0.9648504257202148,0.0,0.003994069993495941,0.08548212796449661,0.23893339931964874,0.17155739665031433,0.08503899723291397,0.21855299174785614,0.15178923308849335,0.06205253675580025,0.10364881902933121,0.10325627028942108,0.12195925414562225,0.31671032309532166,0.2357078641653061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134,0,0.0,0,0,,0.09264332801103592,0.1847725436091423,5.832516670227051,0.0,False,nan
1,0.0007866621017456055,0.0007866621017456055,0.0,7.548775465693325e-05,-0.0007866621017456055,unet.conv_in,add black sunglasses,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,41.22123492294514,0.9994623064994812,7.548775465693325e-05,0.008688368834555149,0.19725406169891357,0.577694833278656,0.4629822075366974,0.9648504257202148,0.0,0.003994069993495941,0.08548212796449661,0.23893339931964874,0.17155739665031433,0.08503899723291397,0.21855299174785614,0.15178923308849335,0.06205253675580025,0.10364881902933121,0.10325627028942108,0.12195925414562225,0.31671032309532166,0.2357078641653061,0.0,0.0,0.0,0.0,0.0,1.3504647540685255e-05,1.0033093531092163e-05,1.2919957043777686e-05,3.799906698986888e-05,0.0,4.3518879272281164e-05,134,0,0.0,0,0,,0.15024701319634914,0.3665157575160265,5.832516670227051,0.0,True,0.0
2,0.001128554344177246,0.001128554344177246,0.0,0.0001143661211244762,-0.001128554344177246,unet.conv_in,add black sunglasses,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,39.417026083031985,0.9991862177848816,0.0001143661211244762,0.010694209486246109,0.23917704820632935,0.700072705745697,0.5813010931015015,0.9632350206375122,0.0,0.004516099579632282,0.08634404093027115,0.2454080581665039,0.17475128173828125,0.08353553712368011,0.21855299174785614,0.15164591372013092,0.08331760764122009,0.1336125284433365,0.1331799477338791,0.15376412868499756,0.39184314012527466,0.34381580352783203,0.0,0.0,0.0,0.0,0.0,3.1507538551522885e-06,2.2830515717942035e-06,1.4741118548045051e-06,9.063787729246542e-06,0.0,9.973205507586032e-06,134,0,0.0,0,0,,0.14688720367848873,0.5138890985399485,5.832516670227051,0.0003418922424316406,True,0.0003418922424316406
3,0.001315474510192871,0.001315474510192871,0.0,0.0001553998445160687,-0.001315474510192871,unet.conv_in,add black sunglasses,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,38.08549420064366,0.9988946914672852,0.0001553998445160687,0.012465947307646275,0.27434855699539185,0.8479002714157104,0.6976158618927002,0.9621427655220032,0.0,0.005010093096643686,0.08803223073482513,0.2578079402446747,0.17902211844921112,0.08509959280490875,0.21855299174785614,0.15477176010608673,0.09923024475574493,0.1562405526638031,0.15574626624584198,0.17649701237678528,0.5048239827156067,0.43380874395370483,0.0,0.0,0.0,0.0,0.0,0.0001014199951896444,8.737388270674273e-05,2.964282202810864e-06,0.0002629023802001029,0.0,0.0002950367083726642,134,0,0.0,0,0,,0.14766260236501694,0.6624538525938988,5.832516670227051,0.0005288124084472656,True,0.0005288124084472656
4,0.0015489459037780762,0.0015489459037780762,0.0,0.00019025754590984434,-0.0015489459037780762,unet.conv_in,add black sunglasses,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,37.206581094219516,0.9986469745635986,0.00019025754590984434,0.013793387450277805,0.2996840476989746,0.9202361106872559,0.7443547248840332,0.9643614292144775,0.0,0.00526377372443676,0.0903545692563057,0.2679518759250641,0.18083316087722778,0.08328378200531006,0.22464606165885925,0.1512833684682846,0.11383262276649475,0.1773061454296112,0.17678984999656677,0.1914374679327011,0.5340089797973633,0.4522271156311035,0.0,0.0,0.0,0.0,0.0,4.4390126276994124e-05,3.72228714695666e-05,7.975232620083261e-06,0.00011561477731447667,0.0,0.00012956236544671383,134,0,0.0,0,0,,0.14537514001131058,0.8086320552974939,5.832516670227051,0.0007622838020324707,True,0.0007622838020324707
5,0.00159531831741333,0.00159531831741333,0.0,0.00019744264136534184,-0.00159531831741333,unet.conv_in,add black sunglasses,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,37.04559047665494,0.9985961318016052,0.00019744264136534184,0.014051428064703941,0.3062759041786194,0.9211945533752441,0.7380586266517639,0.9667277336120605,0.0,0.005317484959959984,0.09198613464832306,0.26272615790367126,0.17721500992774963,0.08295668661594391,0.2330354005098343,0.1507919728755951,0.11870421469211578,0.18388983607292175,0.18334664404392242,0.19495320320129395,0.5225563645362854,0.4404653012752533,0.0,0.0,0.0,0.0,0.0,1.1561963219719473e-05,8.616411832917947e-06,6.76666832077899e-06,3.340315379318781e-05,0.0,3.700648632150026e-05,134,0,0.0,0,0,,0.1448063887655735,0.9540460351854563,5.832516670227051,0.0008086562156677246,True,0.0008086562156677246
6,0.0016416311264038086,0.0016416311264038086,0.0,0.0002193442778661847,-0.0016416311264038086,unet.conv_in,add black sunglasses,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,36.58873690748688,0.9984404444694519,0.0002193442778661847,0.014810276217758656,0.32489967346191406,0.9311818480491638,0.7440117001533508,0.966773271560669,0.0,0.00553553644567728,0.09214481711387634,0.2705460786819458,0.18219877779483795,0.08292849361896515,0.23812207579612732,0.15123283863067627,0.1268024891614914,0.19535472989082336,0.19478264451026917,0.2046011984348297,0.5168941020965576,0.4411483407020569,0.0,0.0,0.0,0.0,0.0,1.825277422540239e-06,1.3725892813454266e-06,1.677250224929594e-06,5.2704881454701535e-06,0.0,5.983882737242374e-06,134,0,0.0,0,0,,0.1471880916506052,1.10279287584126,5.832516670227051,0.0008549690246582031,True,0.0008549690246582031
7,0.0016594529151916504,0.0016594529151916504,0.0,0.00024033055524341762,-0.0016594529151916504,unet.conv_in,add black sunglasses,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,36.19191010178155,0.9982911348342896,0.00024033055524341762,0.015502598136663437,0.34163105487823486,0.9402147531509399,0.7504175901412964,0.9657062292098999,0.0,0.005759027786552906,0.09288468956947327,0.27611902356147766,0.18644499778747559,0.08309008181095123,0.2427014708518982,0.15181772410869598,0.13263794779777527,0.20362098515033722,0.20299412310123444,0.21398532390594482,0.5140196084976196,0.44463664293289185,0.0,0.0,0.0,0.0,0.0,7.701501090195961e-06,6.642900643782923e-06,4.322775566834025e-06,2.3911057724035345e-05,0.0,2.6341342374465822e-05,134,0,0.0,0,0,,0.15077790804207325,1.2542889714241028,5.832516670227051,0.0008727908134460449,True,0.0008727908134460449
8,0.0016862154006958008,0.0016862154006958008,0.0,0.00026282996986992657,-0.0016862154006958008,unet.conv_in,add black sunglasses,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,35.80325114732398,0.9981310367584229,0.00026282996986992657,0.01621203124523163,0.358127236366272,0.9587106704711914,0.7692747712135315,0.9642692804336548,0.0,0.00596319604665041,0.0942000150680542,0.27732574939727783,0.19136375188827515,0.08368998765945435,0.24721089005470276,0.15320706367492676,0.1386622190475464,0.2115931659936905,0.21096530556678772,0.22259297966957092,0.5440300107002258,0.4637291729450226,0.0,0.0,0.0,0.0,0.0,7.178729720180854e-05,6.283578841248527e-05,6.551462320203427e-06,0.00023070385213941336,0.0,0.0002497377452357908,134,0,0.0,0,0,,0.14711017720401287,1.4022124242037535,5.832516670227051,0.0008995532989501953,True,0.0008995532989501953
9,0.0018094778060913086,0.0018094778060913086,0.0,0.0002962186699733138,-0.0018094778060913086,unet.conv_in,add black sunglasses,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,35.28387572381794,0.997893750667572,0.0002962186699733138,0.017211005091667175,0.3792853057384491,0.9944625496864319,0.8136075735092163,0.961101770401001,0.0,0.006221707910299301,0.09662719070911407,0.2700325548648834,0.1956366002559662,0.08354797959327698,0.25157228112220764,0.1549338400363922,0.1465565264225006,0.22202472388744354,0.22142405807971954,0.2311094105243683,0.5634900331497192,0.49173611402511597,0.0,0.0,0.0,0.0,0.0,1.7108222891693003e-05,1.447751492378302e-05,3.903026936313836e-06,4.290386277716607e-05,0.0,4.856196854893442e-05,134,0,0.0,0,0,,0.14380154758691788,1.5469524264335632,5.832516670227051,0.0010228157043457031,True,0.0010228157043457031
