iteration,Z,Z_total,input_preservation_weight,input_preservation_loss,loss,layer_name,prompt,timestep_index,image_id,identity_id,seed,learning_rate,finite_gradient_flag,nan_or_inf_flag,input_psnr,input_ssim,input_mse,input_l2,combined_mean_disp_px,combined_max_disp_px,combined_p95_disp_px,jacobian_det_min,foldover_fraction,smoothness_tv,tps_mean_disp,tps_max_disp,tps_p95_disp,delaunay_mean_disp,delaunay_max_disp,delaunay_p95_disp,rolling_mean_disp,rolling_max_disp,rolling_p95_disp,dct_mean_disp,dct_max_disp,dct_p95_disp,fft_phase_norm,fft_phase_max,fft_phase_mean_abs,legacy_fft_strength_equivalent,fft_spatial_delta_mse,tps_grad_norm,delaunay_grad_norm,rolling_grad_norm,dct_grad_norm,fft_grad_norm,total_grad_norm,num_total_params,num_clamped_total,fraction_clamped_total,num_at_min_total,num_at_max_total,components_at_boundary,seconds_iter,seconds_elapsed,peak_vram_gb,Z_increase_from_initial,valid_checkpoint,valid_checkpoint_score
0,0.0007866621017456055,0.0007866621017456055,0.0,7.548775465693325e-05,-0.0007866621017456055,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,41.22123492294514,0.9994623064994812,7.548775465693325e-05,0.008688368834555149,0.19725406169891357,0.577694833278656,0.4629822075366974,0.9648504257202148,0.0,0.003994069993495941,0.08548212796449661,0.23893339931964874,0.17155739665031433,0.08503899723291397,0.21855299174785614,0.15178923308849335,0.06205253675580025,0.10364881902933121,0.10325627028942108,0.12195925414562225,0.31671032309532166,0.2357078641653061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134,0,0.0,0,0,,0.09205836243927479,0.1826901976019144,5.832516670227051,0.0,False,nan
1,0.0007866621017456055,0.0007866621017456055,0.0,7.548775465693325e-05,-0.0007866621017456055,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,41.22123492294514,0.9994623064994812,7.548775465693325e-05,0.008688368834555149,0.19725406169891357,0.577694833278656,0.4629822075366974,0.9648504257202148,0.0,0.003994069993495941,0.08548212796449661,0.23893339931964874,0.17155739665031433,0.08503899723291397,0.21855299174785614,0.15178923308849335,0.06205253675580025,0.10364881902933121,0.10325627028942108,0.12195925414562225,0.31671032309532166,0.2357078641653061,0.0,0.0,0.0,0.0,0.0,1.3504648450179957e-05,1.0033092621597461e-05,1.2919957043777686e-05,3.799906698986888e-05,0.0,4.351887934483268e-05,134,0,0.0,0,0,,0.14301856234669685,0.3265494368970394,5.832516670227051,0.0,True,0.0
2,0.001128554344177246,0.001128554344177246,0.0,0.0001143661211244762,-0.001128554344177246,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,39.417026083031985,0.9991862177848816,0.0001143661211244762,0.010694209486246109,0.23917707800865173,0.700072705745697,0.5813010931015015,0.9632350206375122,0.0,0.004516100510954857,0.08634407818317413,0.24540972709655762,0.174751877784729,0.08353553712368011,0.21855299174785614,0.15164591372013092,0.08331760764122009,0.1336125284433365,0.1331799477338791,0.15376412868499756,0.39184314012527466,0.34381580352783203,0.0,0.0,0.0,0.0,0.0,3.1507529456575867e-06,2.2830524812889053e-06,1.4741118548045051e-06,9.063787729246542e-06,0.0,9.973205428457029e-06,134,0,0.0,0,0,,0.14116451516747475,0.46848364546895027,5.832516670227051,0.0003418922424316406,True,0.0003418922424316406
3,0.001317143440246582,0.001317143440246582,0.0,0.0001553998445160687,-0.001317143440246582,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,38.08549420064366,0.9988946914672852,0.0001553998445160687,0.012465947307646275,0.27434855699539185,0.8479002714157104,0.6976158618927002,0.9621427655220032,0.0,0.005010094027966261,0.08803228288888931,0.2578098773956299,0.17902211844921112,0.08509960025548935,0.21855299174785614,0.15477176010608673,0.09923024475574493,0.1562405526638031,0.15574626624584198,0.17649701237678528,0.5048239827156067,0.43380874395370483,0.0,0.0,0.0,0.0,0.0,8.517316746292636e-05,7.434845610987395e-05,6.663118711003335e-06,0.00022379196889232844,0.0,0.0002508174712280853,134,0,0.0,0,0,,0.14156810007989407,0.610675560310483,5.832516670227051,0.0005304813385009766,True,0.0005304813385009766
4,0.0015380382537841797,0.0015380382537841797,0.0,0.00019271927885711193,-0.0015380382537841797,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,37.150748381081094,0.9986294507980347,0.00019271927885711193,0.013882337138056755,0.301225870847702,0.9321542382240295,0.7527810335159302,0.9635745882987976,0.0,0.0052482569590210915,0.09033629298210144,0.26893460750579834,0.1809263974428177,0.0834263265132904,0.22464606165885925,0.15126559138298035,0.11613311618566513,0.18051011860370636,0.17996260523796082,0.19093850255012512,0.5373748540878296,0.4552038908004761,0.0,0.0,0.0,0.0,0.0,6.182905053719878e-05,5.217615398578346e-05,1.3715980458073318e-05,0.00012869782221969217,0.0,0.000152631713936185,134,0,0.0,0,0,,0.151533717289567,0.7628692388534546,5.832516670227051,0.0007513761520385742,True,0.0007513761520385742
5,0.0017000436782836914,0.0017000436782836914,0.0,0.00023781209893058985,-0.0017000436782836914,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,36.23766053985091,0.9983084201812744,0.00023781209893058985,0.015421157702803612,0.33420300483703613,1.0039149522781372,0.7972986698150635,0.9652469158172607,0.0,0.005526780616492033,0.09067296236753464,0.28272655606269836,0.18402282893657684,0.08283136785030365,0.23003831505775452,0.1504145711660385,0.13467064499855042,0.2071358859539032,0.20656119287014008,0.20757652819156647,0.5528610348701477,0.4610224962234497,0.0,0.0,0.0,0.0,0.0,0.00022872975387144834,0.00017089914763346314,0.0001254505041288212,0.0007861388148739934,0.0,0.0008457398442816797,134,0,0.0,0,0,,0.1429472528398037,0.9066302869468927,5.832516670227051,0.0009133815765380859,True,0.0009133815765380859
6,0.0016672611236572266,0.0016672611236572266,0.0,0.00027645748923532665,-0.0016672611236572266,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,35.58371640525317,0.9980324506759644,0.00027645748923532665,0.016627009958028793,0.35847002267837524,1.0637608766555786,0.8449100255966187,0.9524323344230652,0.0,0.005635992623865604,0.09106828272342682,0.2874090373516083,0.18976983428001404,0.08452791720628738,0.23468561470508575,0.15105468034744263,0.1491028368473053,0.22768431901931763,0.22698871791362762,0.21344010531902313,0.5551291704177856,0.46991628408432007,0.0,0.0,0.0,0.0,0.0,5.904358840780333e-05,4.429681575857103e-05,1.889316445158329e-05,0.00017179592396132648,0.0,0.00018793388297786887,134,0,0.0,0,0,,0.14387125708162785,1.0509065557271242,5.832516670227051,0.0008805990219116211,True,0.0008805990219116211
7,0.0016173720359802246,0.0016173720359802246,0.0,0.0003156141028739512,-0.0016173720359802246,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,35.00843599051039,0.997752845287323,0.0003156141028739512,0.017765531316399574,0.38299375772476196,1.1304161548614502,0.9004949927330017,0.9409376978874207,0.0,0.0058067962527275085,0.09241579473018646,0.289935827255249,0.19606998562812805,0.08634471148252487,0.23869076371192932,0.15130236744880676,0.16330137848854065,0.24787543714046478,0.24718162417411804,0.22345426678657532,0.5636120438575745,0.4827030599117279,0.0,0.0,0.0,0.0,0.0,1.8889719285652973e-05,1.3615464013128076e-05,7.341664968407713e-06,5.354536187951453e-05,0.0,5.884902869461881e-05,134,0,0.0,0,0,,0.15092243999242783,1.2025264482945204,5.832516670227051,0.0008307099342346191,True,0.0008307099342346191
8,0.0016174912452697754,0.0016174912452697754,0.0,0.0003622153017204255,-0.0016174912452697754,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,34.410332069419646,0.9974203109741211,0.0003622153017204255,0.019031954929232597,0.4105217158794403,1.1950149536132812,0.9563055634498596,0.930433452129364,0.0,0.0060472646728158,0.09426578879356384,0.3010751008987427,0.2019394338130951,0.08793853968381882,0.24217860400676727,0.1533605009317398,0.17637315392494202,0.26648926734924316,0.2657690942287445,0.23415592312812805,0.5762393474578857,0.4973338842391968,0.0,0.0,0.0,0.0,0.0,8.44338137540035e-05,7.22491749911569e-05,8.622926543466747e-06,0.00027189013781026006,0.0,0.0002938496453845143,134,0,0.0,0,0,,0.1475086212158203,1.3507460672408342,5.832516670227051,0.0008308291435241699,True,0.0008308291435241699
9,0.0015451312065124512,0.0015451312065124512,0.0,0.0004066883120685816,-0.0015451312065124512,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,33.907383087290725,0.9971028566360474,0.0004066883120685816,0.020166514441370964,0.433594673871994,1.252502202987671,1.0068504810333252,0.921343982219696,0.0,0.006271882448345423,0.09504985064268112,0.3110068440437317,0.20650969445705414,0.09060382843017578,0.24671831727027893,0.15904848277568817,0.18672943115234375,0.28147247433662415,0.2806839942932129,0.2440488338470459,0.589529812335968,0.5137048959732056,0.0,0.0,0.0,0.0,0.0,8.610042277723551e-05,7.47291705920361e-05,8.441818863502704e-06,0.0002861760149244219,0.0,0.00030816506544957274,134,0,0.0,0,0,,0.151021808385849,1.5023899991065264,5.832516670227051,0.0007584691047668457,True,0.0007584691047668457
10,0.0015697479248046875,0.0015697479248046875,0.0,0.00045159528963267803,-0.0015697479248046875,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,33.45250596634591,0.9967824220657349,0.00045159528963267803,0.0212507713586092,0.4569970369338989,1.3205293416976929,1.0702096223831177,0.9125776290893555,0.0,0.006559033878147602,0.09697361290454865,0.32140326499938965,0.21578089892864227,0.0925460234284401,0.2513691484928131,0.16278918087482452,0.19678133726119995,0.2959482967853546,0.2951996624469757,0.2545362710952759,0.6190515160560608,0.559241771697998,0.0,0.0,0.0,0.0,0.0,3.74385344912298e-05,3.1384432077175006e-05,1.499215704825474e-05,9.306483843829483e-05,0.0,0.00010617182002849564,134,0,0.0,0,0,,0.14051579870283604,1.6434510201215744,5.832516670227051,0.000783085823059082,True,0.000783085823059082
11,0.0015647411346435547,0.0015647411346435547,0.0,0.0004869051044806838,-0.0015647411346435547,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,33.125556724942086,0.9965305328369141,0.0004869051044806838,0.02206592634320259,0.47495710849761963,1.370538353919983,1.1220107078552246,0.905066967010498,0.0,0.0068125044927001,0.09864494204521179,0.3291255235671997,0.2236201912164688,0.094663605093956,0.2555290162563324,0.16701504588127136,0.20401695370674133,0.30654260516166687,0.3057437539100647,0.26290762424468994,0.6640778183937073,0.591078519821167,0.0,0.0,0.0,0.0,0.0,1.3637757547257934e-05,9.676381523604505e-06,8.269814316008706e-06,4.0440569136990234e-05,0.0,4.453594336323297e-05,134,0,0.0,0,0,,0.1427913513034582,1.7865768801420927,5.832516670227051,0.0007780790328979492,True,0.0007780790328979492
12,0.0015537738800048828,0.0015537738800048828,0.0,0.0005258541204966605,-0.0015537738800048828,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,32.79134718679452,0.9962525367736816,0.0005258541204966605,0.022931508719921112,0.49429231882095337,1.4187959432601929,1.1790313720703125,0.8984160423278809,0.0,0.007093548774719238,0.10094206035137177,0.3361136019229889,0.23217414319515228,0.09671684354543686,0.259503036737442,0.1720065325498581,0.21116283535957336,0.31698885560035706,0.3161033093929291,0.27100664377212524,0.739005982875824,0.6190130710601807,0.0,0.0,0.0,0.0,0.0,0.0003423558082431555,0.00028387579368427396,3.036047928617336e-05,0.0008513872162438929,0.0,0.0009610280518089532,134,0,0.0,0,0,,0.1570229697972536,1.9441214762628078,5.832516670227051,0.0007671117782592773,True,0.0007671117782592773
13,0.0014933347702026367,0.0014933347702026367,0.0,0.0005467201117426157,-0.0014933347702026367,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,32.62234949781052,0.9961034059524536,0.0005467201117426157,0.023382047191262245,0.5038694143295288,1.4613208770751953,1.2295310497283936,0.8932499289512634,0.0,0.007330794353038073,0.10299082100391388,0.3424932658672333,0.23856912553310394,0.09810759127140045,0.2631043791770935,0.1742357611656189,0.21517735719680786,0.32286885380744934,0.3219585120677948,0.2744327187538147,0.7957472205162048,0.644129753112793,0.0,0.0,0.0,0.0,0.0,1.9839029846480116e-05,1.5218248336168472e-05,2.1571187971858308e-05,5.716017403756268e-05,0.0,6.601351251215559e-05,134,0,0.0,0,0,,0.14590749517083168,2.0908635072410107,5.832516670227051,0.0007066726684570312,True,0.0007066726684570312
14,0.001448214054107666,0.001448214054107666,0.0,0.0005589295760728419,-0.001448214054107666,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,32.52642908839306,0.9960157871246338,0.0005589295760728419,0.023641690611839294,0.5094905495643616,1.4976121187210083,1.2694250345230103,0.8889145255088806,0.0,0.0075808302499353886,0.10560491681098938,0.3489232659339905,0.2457091361284256,0.09904879331588745,0.26684197783470154,0.17664891481399536,0.2165106236934662,0.32509446144104004,0.32420217990875244,0.27812355756759644,0.8468822836875916,0.6670413613319397,0.0,0.0,0.0,0.0,0.0,2.3155776943895034e-05,1.7621769075049087e-05,2.3030792362987995e-05,6.103887426434085e-05,0.0,7.143443371046525e-05,134,0,0.0,0,0,,0.14109055139124393,2.232195269316435,5.832516670227051,0.0006615519523620605,True,0.0006615519523620605
15,0.0014581680297851562,0.0014581680297851562,0.0,0.0005762171349488199,-0.0014581680297851562,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,32.39413831263739,0.9958919286727905,0.0005762171349488199,0.02400452271103859,0.5196556448936462,1.5356738567352295,1.3085899353027344,0.8849056363105774,0.0,0.007883274927735329,0.10877841711044312,0.36170902848243713,0.25473451614379883,0.100314661860466,0.27843350172042847,0.18048423528671265,0.21958482265472412,0.32975471019744873,0.3288586735725403,0.2834865152835846,0.8927295207977295,0.6898649334907532,0.0,0.0,0.0,0.0,0.0,3.589880725485273e-05,2.6877889467868954e-05,8.087712558335625e-06,9.90552653092891e-05,0.0,0.00010903440734230622,134,0,0.0,0,0,,0.15588088147342205,2.3888267036527395,5.832516670227051,0.0006715059280395508,True,0.0006715059280395508
16,0.0015223026275634766,0.0015223026275634766,0.0,0.0005919113755226135,-0.0015223026275634766,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,32.27743313552006,0.9957793951034546,0.0005919113755226135,0.024329228326678276,0.5307828187942505,1.572293996810913,1.344227910041809,0.8812857270240784,0.0,0.00820931512862444,0.11263716220855713,0.3719647526741028,0.2660506069660187,0.1015339195728302,0.29429057240486145,0.18483391404151917,0.22271104156970978,0.3345352113246918,0.3336437940597534,0.28970101475715637,0.9341363310813904,0.7120144367218018,0.0,0.0,0.0,0.0,0.0,5.401041198638268e-05,4.050922143505886e-05,6.586414383491501e-05,0.00014786631800234318,0.0,0.0001753871576452788,134,0,0.0,0,0,,0.15086937882006168,2.539853034541011,5.832516670227051,0.0007356405258178711,True,0.0007356405258178711
17,0.0016162395477294922,0.0016162395477294922,0.0,0.0006192256114445627,-0.0016162395477294922,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,32.08151089342251,0.9955843687057495,0.0006192256114445627,0.024884244427084923,0.5503824353218079,1.632757306098938,1.394016146659851,0.8785645961761475,0.0,0.008592385798692703,0.11681362241506577,0.3808894455432892,0.2781541347503662,0.10351480543613434,0.3108530044555664,0.19027280807495117,0.23002849519252777,0.3452460467815399,0.3442685902118683,0.29907095432281494,0.964066743850708,0.7427849769592285,0.0,0.0,0.0,0.0,0.0,1.3062697689747438e-05,1.0228409337287303e-05,1.275990143767558e-05,3.998477041022852e-05,0.0,4.5131489870850934e-05,134,0,0.0,0,0,,0.1525661963969469,2.6933575700968504,5.832516670227051,0.0008295774459838867,True,0.0008295774459838867
18,0.0017313361167907715,0.0017313361167907715,0.0,0.0006487092468887568,-0.0017313361167907715,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,31.879499114668135,0.9953736066818237,0.0006487092468887568,0.025469770655035973,0.5704286694526672,1.694473147392273,1.4450111389160156,0.8752785325050354,0.0,0.00896782148629427,0.12108074128627777,0.38942745327949524,0.28970643877983093,0.10574319213628769,0.3261988162994385,0.19646619260311127,0.23754090070724487,0.3562195897102356,0.35526242852211,0.3087646961212158,0.99562668800354,0.7738608121871948,0.0,0.0,0.0,0.0,0.0,1.6507901818840764e-05,1.3006812878302298e-05,2.080507874779869e-05,4.1512015741318464e-05,0.0,5.096848787556124e-05,134,0,0.0,0,0,,0.15568844601511955,2.8489406500011683,5.832516670227051,0.000944674015045166,True,0.000944674015045166
19,0.0018489360809326172,0.0018489360809326172,0.0,0.0006830008933320642,-0.0018489360809326172,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,31.655787282819638,0.9951287508010864,0.0006830008933320642,0.02613428607583046,0.5921096801757812,1.7523425817489624,1.4930644035339355,0.8720267415046692,0.0,0.009313326328992844,0.12549664080142975,0.39803725481033325,0.3003096282482147,0.10797902941703796,0.34357109665870667,0.2028329074382782,0.24591395258903503,0.3683614432811737,0.3674670457839966,0.3183306157588959,1.0252807140350342,0.8024484515190125,0.0,0.0,0.0,0.0,0.0,0.00017083193233702332,0.0001340349845122546,9.327951556770131e-05,0.0003926861099898815,0.0,0.00045831471194227665,134,0,0.0,0,0,,0.15299805626273155,3.0032639112323523,5.832516670227051,0.0010622739791870117,True,0.0010622739791870117
20,0.001974344253540039,0.001974344253540039,0.0,0.0007346707279793918,-0.001974344253540039,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,31.339072637220873,0.9947602152824402,0.0007346707279793918,0.027104809880256653,0.6217028498649597,1.8413524627685547,1.5552842617034912,0.8693493008613586,0.0,0.009697810746729374,0.13094410300254822,0.41073423624038696,0.31428253650665283,0.11022736877202988,0.36041224002838135,0.2097233682870865,0.25806260108947754,0.38593509793281555,0.38486623764038086,0.3305082321166992,1.0417437553405762,0.8427112102508545,0.0,0.0,0.0,0.0,0.0,5.866807259735651e-05,4.502748925006017e-05,5.5506119679193944e-05,0.0001693248632363975,0.0,0.0001929281113843151,134,0,0.0,0,0,,0.1504256408661604,3.154717531055212,5.832516670227051,0.0011876821517944336,True,0.0011876821517944336
21,0.0021243691444396973,0.0021243691444396973,0.0,0.0008004253031685948,-0.0021243691444396973,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,30.96679190834427,0.9942910075187683,0.0008004253031685948,0.028291787952184677,0.6558066606521606,1.9223273992538452,1.6125773191452026,0.866506814956665,0.0,0.010108607821166515,0.13749976456165314,0.4222503900527954,0.32839128375053406,0.11310063302516937,0.380440890789032,0.21830689907073975,0.2720527648925781,0.406017929315567,0.40503600239753723,0.34289923310279846,1.0586426258087158,0.8761412501335144,0.0,0.0,0.0,0.0,0.0,6.489054794656113e-05,4.2703497456386685e-05,4.7482400987064466e-05,0.0002263380156364292,0.0,0.00024396279969197233,134,0,0.0,0,0,,0.1422121375799179,3.2978056091815233,5.832516670227051,0.0013377070426940918,True,0.0013377070426940918
22,0.0022548437118530273,0.0022548437118530273,0.0,0.0008753936272114515,-0.0022548437118530273,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,30.577966193369956,0.9937562942504883,0.0008753936272114515,0.029587050899863243,0.692374587059021,2.0030410289764404,1.6825404167175293,0.8637065291404724,0.0,0.010583827272057533,0.14419357478618622,0.43320804834365845,0.3425072431564331,0.11650951951742172,0.40244829654693604,0.22778820991516113,0.2869345545768738,0.42747560143470764,0.4263320565223694,0.3570973873138428,1.0772415399551392,0.908204197883606,0.0,0.0,0.0,0.0,0.0,8.570514910388738e-05,6.273714097915217e-05,3.2641119105392136e-06,0.0002507847675587982,0.0,0.0002723691897172706,134,0,0.0,0,0,,0.1414407640695572,3.439868623390794,5.832516670227051,0.0014681816101074219,True,0.0014681816101074219
23,0.002342820167541504,0.002342820167541504,0.0,0.0009475526167079806,-0.002342820167541504,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,30.233966647250945,0.9932419657707214,0.0009475526167079806,0.030782341957092285,0.726201057434082,2.070944309234619,1.7423362731933594,0.8620641827583313,0.0,0.011033790186047554,0.15006253123283386,0.44123807549476624,0.3546294867992401,0.11945432424545288,0.420992374420166,0.23610061407089233,0.3004261255264282,0.4469010829925537,0.4458376467227936,0.37042155861854553,1.087239146232605,0.9325487613677979,0.0,0.0,0.0,0.0,0.0,0.00018510196241550148,0.0001431418495485559,7.447595271514729e-05,0.00044800888281315565,0.0,0.0005108923097821808,134,0,0.0,0,0,,0.14250126481056213,3.583123391494155,5.832516670227051,0.0015561580657958984,True,0.0015561580657958984
24,0.0023960471153259277,0.0023960471153259277,0.0,0.0009915621485561132,-0.0023960471153259277,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,30.03680060148437,0.9929293394088745,0.0009915621485561132,0.03148908168077469,0.7464877367019653,2.1109421253204346,1.786575198173523,0.8618220090866089,0.0,0.011415282264351845,0.15482869744300842,0.45159903168678284,0.36374011635780334,0.12207349389791489,0.43800193071365356,0.24222740530967712,0.3074861168861389,0.45718449354171753,0.45604395866394043,0.37919914722442627,1.087237000465393,0.9446752667427063,0.0,0.0,0.0,0.0,0.0,0.00027635673177428544,0.0002053397911367938,8.001952664926648e-05,0.0007729395874775946,0.0,0.0008499271754428572,134,0,0.0,0,0,,0.14277598075568676,3.726835463196039,5.832516670227051,0.0016093850135803223,True,0.0016093850135803223
25,0.0023474693298339844,0.0023474693298339844,0.0,0.001057599438354373,-0.0023474693298339844,unet.conv_in,add headphones,6,kamala_harris_01,kamala_harris,1234,0.02,True,False,29.756787884935157,0.9924604296684265,0.001057599438354373,0.032520752400159836,0.771394670009613,2.145176649093628,1.8523774147033691,0.8615437746047974,0.0,0.011875408701598644,0.1602226048707962,0.4615907073020935,0.37448257207870483,0.12491146475076675,0.4569869637489319,0.2497711479663849,0.3173046410083771,0.471530020236969,0.4702927768230438,0.38990259170532227,1.0834354162216187,0.9696279764175415,0.0,0.0,0.0,0.0,0.0,0.00012902633170597255,0.0001087740674847737,2.0133278667344712e-05,0.0003846306644845754,0.0,0.0004205064672539826,134,0,0.0,0,0,,0.14131987281143665,3.868896806612611,5.832516670227051,0.001560807228088379,True,0.001560807228088379
